england,,,,,,,wales,,,,,,,,,,combined,,,,
name,value,total_n,covid_event,p_covid,flu_event,p_flu,n,n_c19_complete,,n_flu_complete,,,,,,,covid_event,flu_event,total_n,per_covid,per_flu
Total,,2971980,2508550,84.4,1614150,54.3,1090080,947050,86.9,522920,48,,2971980,2508545,1614146,,365138,313852,387086,94.3,81.1
,,,,,,,,,,,,,441290,311107,,,457051,167236,686237,66.6,24.4
IMDQuintile,1,441290,311110,70.5,186780,42.3,201800,160960,79.8,82180,40.7,,509800,405168,186775,,1483123,703112,1759448,84.3,40
IMDQuintile,2,509800,405170,79.5,251070,49.2,216110,184420,85.3,98080,45.4,,618323,529143,251073,,1150283,952866,1229289,93.6,77.5
IMDQuintile,3,618320,529140,85.6,340420,55.1,217980,190050,87.2,104410,47.9,,689667,612923,340423,,958726,591446,1141601,84,51.8
IMDQuintile,4,689670,612920,88.9,401040,58.1,216460,194100,89.7,111840,51.7,,712900,650204,401041,,50428,29301,69522,72.5,42.1
IMDQuintile,5,712900,650200,91.2,434830,61,237730,217520,91.5,126410,53.2,,1539576,1322522,434834,,1223013,782802,1401286,87.3,55.9
,,,,,,,,,,,,,1432404,1186023,,,944825,594290,1082499,87.3,54.9
Sex,F,1539580,1322520,85.9,877440,57,564740,499600,88.5,285120,50.5,,284086,267538,877437,,175527,99707,213513,82.2,46.7
Sex,M,1432400,1186020,82.8,736710,51.4,525340,447460,85.2,237800,45.3,,518797,344481,736709,,103076,39520,153639,67.1,25.7
,,,,,,,,,,,,,1288508,1075663,,,19210,9577,29625,64.8,32.3
age_cat,18-49,518800,344480,66.4,134570,25.9,167440,112570,67.2,32670,19.5,,880589,820863,134566,,3038399,1917184,3462180,87.8,55.4
age_cat,50-64,1288510,1075660,83.5,548930,42.6,470940,407460,86.5,154180,32.7,,874951,734406,548932,,107430,62910,149686,71.8,42
age_cat,65-79,880590,820860,93.2,695390,79,348700,329420,94.5,257480,73.8,,51392,36398,695386,,37713,19352,74097,50.9,26.1
age_cat,80+,284090,267540,94.2,235260,82.8,103000,97600,94.8,78590,76.3,,1024566,892453,235262,,16749,8437,26593,63,31.7
,,,,,,,,,,,,,720309,623825,,,236104,119606,319879,73.8,37.4
bmi_cat,<18.5,51390,36400,70.8,21410,41.7,18130,14030,77.4,7890,43.5,,147123,118387,21411,,988285,635080,1190752,83,53.3
