"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-50","18-50","1on5","c19","adj",-0.00751176287102752,0.992516379908304,0.8898159378495,1.10707026305579,0.0557300476131148,-0.134788380644767,0.892779192899706
"age_cat","50-65","50-65","1on5","c19","adj",-0.0746747751236772,0.928045260658753,0.838361602580982,1.02732282010492,0.0518534986307765,-1.44011064046806,0.149836099168642
"age_cat","65-80","65-80","1on5","c19","adj",-0.0356100940648987,0.965016485793831,0.868060844063696,1.07280131827435,0.0540231232314351,-0.659163927127002,0.509790508382978
"gndr_cd","Male","1","1on5","c19","adj",0.178845248546255,1.19583567253944,1.14944049648175,1.24410350957262,0.0201891206538928,8.8584961976425,8.11010039969809e-19
"ethn_cat","Asian","a","1on5","c19","adj",0.596292515173333,1.81537583003957,1.61522784588847,2.04032478308289,0.059601343864299,10.0046823865411,1.45357368441238e-23
"ethn_cat","Black","b","1on5","c19","adj",0.316994502777302,1.3729950242453,1.08359079824599,1.7396930092557,0.120774751622072,2.62467526134304,0.00867316431647278
"ethn_cat","Mixed","m","1on5","c19","adj",0.0493521476373899,1.05059024848077,0.865978987651855,1.27455733446342,0.0985971087005816,0.500543558404556,0.616692393341335
"ethn_cat","Other","o","1on5","c19","adj",0.570616348628036,1.76935725634353,1.45701775287518,2.14865268072247,0.0990960234376459,5.75821641306409,8.5007329152356e-09
"ethn_cat","(Missing)",NA,"1on5","c19","adj",0.514662855167911,1.6730743383336,1.51687527533015,1.84535787952716,0.0500062128339401,10.2919782563218,7.65864749665824e-25
"bmi_cat","<18.5","<18.5","1on5","c19","adj",0.0863077675651774,1.09014178696431,0.96127855644198,1.23627964830968,0.0641842500928921,1.34468763661282,0.178726128866777
"bmi_cat","25-29.9","25-29.9","1on5","c19","adj",0.0292037083701714,1.029634318242,0.97953575688955,1.08229518100299,0.0254495724310989,1.14751273127422,0.251169774424853
"bmi_cat","30-39.9","30-39.9","1on5","c19","adj",0.0938094685796863,1.0983504557073,1.04270782436137,1.15696237753975,0.0265252128414108,3.53661511183926,0.000405289837403413
"bmi_cat","40+","40+","1on5","c19","adj",0.0588091923468553,1.06057285601485,0.962600206026755,1.16851708099908,0.0494531028085281,1.18919115297077,0.234364455102658
"urban_rural_class","Rural","r","1on5","c19","adj",0.0232313942115631,1.02350334489799,0.97035884755931,1.07955845371251,0.0272049510055041,0.853939939346445,0.39313826854038
"hh_cat","Alone","1","1on5","c19","adj",0.134169178967351,1.1435862740249,1.07190847330567,1.22005712120648,0.0330253514112385,4.06261169780297,4.85267145443168e-05
"hh_cat","3 members","3","1on5","c19","adj",0.0984152290228707,1.10342086236494,1.04071487019836,1.16990506657229,0.0298512509793467,3.29685442968409,0.000977741631026418
"hh_cat","4 members","4","1on5","c19","adj",0.0203341196287377,1.02054226627163,0.958892486768093,1.08615567607291,0.0317916248638098,0.639606176653309,0.522428665865585
"hh_cat","5 members","5","1on5","c19","adj",0.131149353601894,1.14013805232115,1.0554030327926,1.23167618242586,0.0394020699514553,3.32848892871553,0.000873184754921357
"hh_cat","6-10 members","6-10","1on5","c19","adj",0.28337324957932,1.32760059571501,1.22300031134806,1.44114709161448,0.0418712481169687,6.76772874760523,1.30819721700083e-11
"hh_cat","11+ members","11+","1on5","c19","adj",0.0743346269882638,1.07716719440905,0.880150673538954,1.31828469782988,0.1030614821585,0.721264874436243,0.470746563903443
"num_clinical_conditions_cat","1 condition","1","1on5","c19","adj",-0.050975558482088,0.950301897069419,0.899892870692062,1.00353467060943,0.0278086726363199,-1.83308132497884,0.0667904778908456
"num_clinical_conditions_cat","2 conditions","2","1on5","c19","adj",-0.195919345249241,0.82207853654384,0.739581187925233,0.913778137248108,0.0539560271765875,-3.63109286397301,0.000282223604147336
"num_clinical_conditions_cat","3 conditions","3","1on5","c19","adj",0.181089720158731,1.1985227061169,0.965208037223695,1.48823530439052,0.110461896304719,1.63938630619901,0.101132831733526
"num_clinical_conditions_cat","4+ conditions","4+","1on5","c19","adj",0.160703353605119,1.17433655443324,0.657790475421116,2.09651309133849,0.295705524669669,0.543457393244986,0.586814918707542
"health_board","Betsi Cadwaladr University Health Board","bc","1on5","c19","adj",0.0253188381582061,1.0256420822302,0.9546100504176,1.10195957017352,0.0366186240067682,0.69141970363295,0.48930182526517
"health_board","Cardiff and Vale University Health Board","cv","1on5","c19","adj",-0.207006052938732,0.813014728844336,0.760781105386772,0.86883460253891,0.0338799849565067,-6.10998066275634,9.96432126001758e-10
"health_board","Cwm Taf Morgannwg University Health Board","ct","1on5","c19","adj",-0.0186723205896983,0.981500927199856,0.910553382524306,1.0579764883455,0.0382815355970216,-0.487763102981455,0.625717648987264
"health_board","Hywel Dda University Health Board","hd","1on5","c19","adj",0.0928406752545386,1.09728689638491,0.98768074107955,1.21905640446324,0.0536930505345644,1.72910040182525,0.0837911272705141
"health_board","Powys Teaching Health Board","pt","1on5","c19","adj",0.242852511014014,1.27488057940763,0.977149003259106,1.66332922239061,0.135700778518139,1.78961766959614,0.0735153959518065
"health_board","Swansea Bay University Health Board","sb","1on5","c19","adj",0.0315984294204742,1.03210295989233,0.964519193774114,1.10442231393063,0.0345536839231078,0.914473533148886,0.360468078845713
"age_cat","18-50","18-50","1on5","flu","adj",0.358449737240411,1.4311090988278,1.33600878214354,1.532978884661,0.0350838531877225,10.2169432565591,1.66508823846464e-24
"age_cat","50-65","50-65","1on5","flu","adj",0.301928198039983,1.35246411364886,1.27882896661285,1.43033918253569,0.0285634884786583,10.570424486686,4.08640776009148e-26
"age_cat","65-80","65-80","1on5","flu","adj",-0.0148070482057314,0.985302037058597,0.931482474536382,1.04223120753294,0.028659126184874,-0.516660839908874,0.605392937072427
"gndr_cd","Male","1","1on5","flu","adj",-0.0130785168213348,0.987006635354169,0.959810485804026,1.01497338551901,0.0142558271622144,-0.917415501220433,0.358924952922362
"ethn_cat","Asian","a","1on5","flu","adj",0.485158681753285,1.62443275623164,1.46664618713445,1.79919451785028,0.0521338114975971,9.30602746694716,1.32702992334061e-20
"ethn_cat","Black","b","1on5","flu","adj",0.0284495514441182,1.02885810511964,0.804839739692515,1.31522953982713,0.125288860352149,0.227071675519716,0.82036800845272
"ethn_cat","Mixed","m","1on5","flu","adj",-0.119175909113585,0.887651641014048,0.722732010639778,1.09020414786588,0.104869722637306,-1.13641865465552,0.255781392153538
"ethn_cat","Other","o","1on5","flu","adj",0.198006435840721,1.2189702388947,1.00279401134688,1.48174842140837,0.0996019937244288,1.9879766301521,0.0468142746653127
"ethn_cat","(Missing)",NA,"1on5","flu","adj",-0.0352843051890064,0.965330928648166,0.850548153880906,1.09560381449633,0.0645878935729404,-0.546299054468453,0.584860386098149
"bmi_cat","<18.5","<18.5","1on5","flu","adj",-0.21338048380574,0.807848705383894,0.722607099028001,0.903145750530669,0.0568934700362638,-3.75052679454656,0.000176463446148434
"bmi_cat","25-29.9","25-29.9","1on5","flu","adj",0.0426869056707538,1.04361109497791,1.00543010455762,1.0832420002385,0.0190164162558837,2.24473976044494,0.0247848439594542
"bmi_cat","30-39.9","30-39.9","1on5","flu","adj",0.129548731475522,1.13831458186038,1.09614435148773,1.18210716090204,0.019260478436517,6.72614296173987,1.74219400002977e-11
"bmi_cat","40+","40+","1on5","flu","adj",0.217146738049612,1.24252641466402,1.1626661002383,1.3278721129148,0.0338939941628878,6.40664351938127,1.48758078595575e-10
"urban_rural_class","Rural","r","1on5","flu","adj",0.0363099320963746,1.03697718920528,0.998716243050184,1.07670391706852,0.0191812268309969,1.89299320717577,0.0583587728190589
"hh_cat","Alone","1","1on5","flu","adj",0.0831594073841428,1.08671502514134,1.04305600448508,1.1322014741202,0.020921066690592,3.97491239878027,7.0405165910793e-05
"hh_cat","3 members","3","1on5","flu","adj",0.0853834215912971,1.08913458436611,1.04802173889108,1.13186024568296,0.019632550901149,4.34907425026973,1.36713422168609e-05
"hh_cat","4 members","4","1on5","flu","adj",0.0710491072289176,1.07363394776188,1.02564678939921,1.12386629169089,0.0233298570570011,3.04541545433929,0.0023235909623949
"hh_cat","5 members","5","1on5","flu","adj",0.111857560742066,1.11835355184937,1.04728648507635,1.19424310802877,0.0334980857225989,3.33922247582652,0.000840132505058337
"hh_cat","6-10 members","6-10","1on5","flu","adj",0.105259611301604,1.11099900081606,1.0308512656623,1.19737814845797,0.0382020687489118,2.75533798950618,0.00586315333099572
"hh_cat","11+ members","11+","1on5","flu","adj",0.116312751189651,1.12334714535593,0.978068819678045,1.29020451689147,0.0706584385917695,1.64612682515743,0.0997376506514488
"num_clinical_conditions_cat","1 condition","1","1on5","flu","adj",0.0738415322500055,1.07663617986426,1.04091736815498,1.11358067340858,0.0172141546511006,4.28958225057449,1.79009510203474e-05
"num_clinical_conditions_cat","2 conditions","2","1on5","flu","adj",0.139552096619011,1.14975870269892,1.08230298216971,1.22141867500151,0.0308479826060499,4.52386460408734,6.07205764777938e-06
"num_clinical_conditions_cat","3 conditions","3","1on5","flu","adj",0.176796890288689,1.1933886796795,1.05543130625692,1.349378715928,0.0626783893875761,2.82069931943295,0.00479190942584417
"num_clinical_conditions_cat","4+ conditions","4+","1on5","flu","adj",0.173275165821223,1.18919328541452,0.890937460171958,1.58729510576649,0.147327304316591,1.17612391419905,0.239545362963499
"health_board","Betsi Cadwaladr University Health Board","bc","1on5","flu","adj",0.146897943267222,1.15823575124124,1.10240427961479,1.21689481822597,0.0252068100731985,5.82770857719173,5.61935952966586e-09
"health_board","Cardiff and Vale University Health Board","cv","1on5","flu","adj",0.0798658630418973,1.08314176858816,1.03453914355156,1.13402774382485,0.023423801549689,3.40960295759327,0.000650575165229173
"health_board","Cwm Taf Morgannwg University Health Board","ct","1on5","flu","adj",0.198023396216323,1.21899091326312,1.16254503038028,1.27817745359248,0.0241901397424379,8.18612039139738,2.69781861621351e-16
"health_board","Hywel Dda University Health Board","hd","1on5","flu","adj",0.146844978718919,1.15817440743239,1.07566517945767,1.24701253108115,0.037707701515908,3.89429673025731,9.84840356315107e-05
"health_board","Powys Teaching Health Board","pt","1on5","flu","adj",0.00681011745907389,1.00683335903832,0.851410817960011,1.19062782794004,0.0855478153508614,0.0796059774424773,0.936550640995861
"health_board","Swansea Bay University Health Board","sb","1on5","flu","adj",0.282207153871697,1.32605338863,1.2667700362433,1.38811113239766,0.0233355163347118,12.0934608784255,1.14365516616281e-33
