"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"wimd2019_quintile","1st (Most deprived)","1","0","c19","adj",-0.911,0.402,0.394,0.41,0.0102,-89.31,0
"wimd2019_quintile","2nd","2","0","c19","adj",-0.611,0.543,0.532,0.554,0.0105,-57.99,0
"wimd2019_quintile","3rd","3","0","c19","adj",-0.46,0.631,0.618,0.645,0.0108,-42.53,0
"wimd2019_quintile","4th","4","0","c19","adj",-0.246,0.782,0.765,0.799,0.0112,-21.94,0
"age_cat","18-50","18-50","0","c19","adj",-2.312,0.099,0.096,0.102,0.0172,-134.45,0
"age_cat","50-65","50-65","0","c19","adj",-1.055,0.348,0.337,0.359,0.0161,-65.73,0
"age_cat","65-80","65-80","0","c19","adj",-0.18,0.835,0.808,0.863,0.0168,-10.74,0
"gndr_cd","Male","1","0","c19","adj",-0.183,0.833,0.822,0.843,0.0062,-29.38,0
"ethn_cat","Asian","a","0","c19","adj",-0.291,0.747,0.718,0.778,0.0205,-14.23,0
"ethn_cat","Black","b","0","c19","adj",-1.084,0.338,0.315,0.363,0.0359,-30.15,0
"ethn_cat","Mixed","m","0","c19","adj",-0.77,0.463,0.433,0.495,0.034,-22.64,0
"ethn_cat","Other","o","0","c19","adj",-0.689,0.502,0.468,0.539,0.0359,-19.21,0
"bmi_cat","<18.5","<18.5","0","c19","adj",-0.418,0.658,0.632,0.686,0.0209,-19.99,0
"bmi_cat","25-29.9","25-29.9","0","c19","adj",0.285,1.329,1.309,1.35,0.008,35.74,0
"bmi_cat","30-39.9","30-39.9","0","c19","adj",0.453,1.573,1.548,1.598,0.0082,55.29,0
"bmi_cat","40+","40+","0","c19","adj",0.72,2.053,1.999,2.11,0.0138,52.06,0
"urban_rural_class","Rural","r","0","c19","adj",0.082,1.085,1.069,1.102,0.0078,10.5,0
"hh_cat","Alone","1","0","c19","adj",-0.458,0.633,0.621,0.645,0.0098,-46.83,0
"hh_cat","3 members","3","0","c19","adj",-0.185,0.831,0.816,0.846,0.0091,-20.24,0
"hh_cat","4 members","4","0","c19","adj",-0.225,0.798,0.783,0.814,0.0099,-22.74,0
