"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-50","18-50","2","c19","adj",-2.402,0.091,0.084,0.097,0.0376,-63.94,0
"age_cat","50-65","50-65","2","c19","adj",-1.12,0.326,0.305,0.35,0.0353,-31.7,0
"age_cat","65-80","65-80","2","c19","adj",-0.222,0.801,0.745,0.861,0.0369,-6.02,0
"gndr_cd","Male","1","2","c19","adj",-0.17,0.844,0.822,0.866,0.0132,-12.83,0
"ethn_cat","Asian","a","2","c19","adj",-0.33,0.719,0.651,0.794,0.0507,-6.51,0
"ethn_cat","Black","b","2","c19","adj",-1.116,0.328,0.279,0.385,0.0816,-13.67,0
"ethn_cat","Mixed","m","2","c19","adj",-0.749,0.473,0.405,0.552,0.0785,-9.54,0
"ethn_cat","Other","o","2","c19","adj",-0.561,0.571,0.479,0.679,0.0887,-6.33,0
"bmi_cat","<18.5","<18.5","2","c19","adj",-0.324,0.723,0.66,0.792,0.0466,-6.96,0
"bmi_cat","25-29.9","25-29.9","2","c19","adj",0.312,1.366,1.321,1.413,0.0172,18.13,0
"bmi_cat","30-39.9","30-39.9","2","c19","adj",0.485,1.624,1.57,1.68,0.0174,27.85,0
"bmi_cat","40+","40+","2","c19","adj",0.817,2.264,2.141,2.394,0.0285,28.71,0
"urban_rural_class","Rural","r","2","c19","adj",0.037,1.038,1.005,1.071,0.0163,2.28,0.0228
"hh_cat","Alone","1","2","c19","adj",-0.442,0.643,0.618,0.669,0.0202,-21.83,0
"hh_cat","3 members","3","2","c19","adj",-0.154,0.858,0.826,0.891,0.0193,-7.98,0
"hh_cat","4 members","4","2","c19","adj",-0.179,0.836,0.802,0.871,0.0212,-8.48,0
"hh_cat","5 members","5","2","c19","adj",-0.457,0.633,0.601,0.667,0.0264,-17.3,0
"hh_cat","6-10 members","6-10","2","c19","adj",-0.782,0.457,0.433,0.483,0.0282,-27.73,0
"hh_cat","11+ members","11+","2","c19","adj",-0.488,0.614,0.533,0.706,0.0717,-6.81,0
"num_clinical_conditions_cat","1 condition","1","2","c19","adj",0.145,1.156,1.116,1.197,0.0177,8.19,0
"num_clinical_conditions_cat","2 conditions","2","2","c19","adj",0.339,1.403,1.318,1.493,0.0319,10.62,0
"num_clinical_conditions_cat","3 conditions","3","2","c19","adj",0.176,1.193,1.048,1.358,0.0661,2.67,0.0076
"num_clinical_conditions_cat","4+ conditions","4+","2","c19","adj",0.385,1.47,1.075,2.01,0.1597,2.41,0.0159
"health_board","Betsi Cadwaladr University Health Board","bc","2","c19","adj",-0.264,0.768,0.735,0.802,0.0221,-11.93,0
"health_board","Cardiff and Vale University Health Board","cv","2","c19","adj",-0.264,0.768,0.729,0.81,0.0269,-9.79,0
"health_board","Cwm Taf Morgannwg University Health Board","ct","2","c19","adj",-0.054,0.948,0.91,0.987,0.0206,-2.59,0.0095
"health_board","Hywel Dda University Health Board","hd","2","c19","adj",-0.361,0.697,0.664,0.731,0.0245,-14.74,0
"health_board","Powys Teaching Health Board","pt","2","c19","adj",-0.203,0.816,0.713,0.934,0.0689,-2.94,0.0033
"health_board","Swansea Bay University Health Board","sb","2","c19","adj",-0.336,0.715,0.683,0.748,0.0229,-14.69,0
"age_cat","18-50","18-50","2","flu","adj",-2.718,0.066,0.063,0.069,0.0242,-112.36,0
"age_cat","50-65","50-65","2","flu","adj",-1.618,0.198,0.191,0.206,0.0198,-81.82,0
"age_cat","65-80","65-80","2","flu","adj",-0.05,0.951,0.915,0.988,0.0198,-2.55,0.0109
"gndr_cd","Male","1","2","flu","adj",-0.212,0.809,0.793,0.825,0.01,-21.23,0
"ethn_cat","Asian","a","2","flu","adj",-0.06,0.942,0.858,1.033,0.0475,-1.27,0.2053
"ethn_cat","Black","b","2","flu","adj",-0.533,0.587,0.49,0.703,0.092,-5.8,0
"ethn_cat","Mixed","m","2","flu","adj",-0.529,0.589,0.495,0.7,0.0883,-6,0
"ethn_cat","Other","o","2","flu","adj",-0.29,0.749,0.627,0.894,0.0905,-3.2,0.0014
"bmi_cat","<18.5","<18.5","2","flu","adj",-0.199,0.819,0.754,0.889,0.042,-4.75,0
"bmi_cat","25-29.9","25-29.9","2","flu","adj",0.132,1.141,1.111,1.172,0.0136,9.69,0
"bmi_cat","30-39.9","30-39.9","2","flu","adj",0.206,1.228,1.196,1.262,0.0136,15.15,0
"bmi_cat","40+","40+","2","flu","adj",0.466,1.594,1.527,1.664,0.0219,21.32,0
"urban_rural_class","Rural","r","2","flu","adj",0.075,1.078,1.053,1.104,0.0121,6.22,0
"hh_cat","Alone","1","2","flu","adj",-0.383,0.682,0.663,0.701,0.014,-27.38,0
"hh_cat","3 members","3","2","flu","adj",-0.22,0.802,0.781,0.824,0.0137,-16.1,0
"hh_cat","4 members","4","2","flu","adj",-0.35,0.705,0.682,0.728,0.0167,-20.89,0
"hh_cat","5 members","5","2","flu","adj",-0.506,0.603,0.575,0.632,0.0242,-20.87,0
"hh_cat","6-10 members","6-10","2","flu","adj",-0.581,0.559,0.53,0.59,0.0276,-21.05,0
"hh_cat","11+ members","11+","2","flu","adj",-0.124,0.883,0.798,0.977,0.0517,-2.41,0.0161
"num_clinical_conditions_cat","1 condition","1","2","flu","adj",0.782,2.187,2.137,2.238,0.0118,66.37,0
"num_clinical_conditions_cat","2 conditions","2","2","flu","adj",1.07,2.915,2.802,3.033,0.0202,53.04,0
"num_clinical_conditions_cat","3 conditions","3","2","flu","adj",0.862,2.369,2.195,2.557,0.039,22.11,0
"num_clinical_conditions_cat","4+ conditions","4+","2","flu","adj",0.767,2.153,1.834,2.527,0.0818,9.38,0
"health_board","Betsi Cadwaladr University Health Board","bc","2","flu","adj",-0.096,0.908,0.88,0.937,0.0162,-5.95,0
"health_board","Cardiff and Vale University Health Board","cv","2","flu","adj",-0.221,0.801,0.769,0.835,0.0213,-10.41,0
"health_board","Cwm Taf Morgannwg University Health Board","ct","2","flu","adj",-0.267,0.766,0.744,0.788,0.0146,-18.22,0
"health_board","Hywel Dda University Health Board","hd","2","flu","adj",-0.258,0.772,0.745,0.801,0.0184,-14.06,0
"health_board","Powys Teaching Health Board","pt","2","flu","adj",-0.191,0.826,0.745,0.916,0.0527,-3.62,3e-04
"health_board","Swansea Bay University Health Board","sb","2","flu","adj",-0.114,0.892,0.863,0.923,0.0171,-6.67,0
"age_cat","18-50","18-50","2","c19","unadj",-2.155,0.116,0.109,0.124,0.0331,-65.13,0
