"xvar","xlbl","xlbl_cd","wimd_q","n","percent","n_c19_complete","perc_c19_complete","n_flu_complete","perc_flu_complete"
"total",NA,NA,0,1090080,100,947050,86.9,522920,48
"wimd2019_quintile","5th (Least deprived)","5",0,237730,21.8,217520,91.5,126410,53.2
"wimd2019_quintile","1st (Most deprived)","1",0,201800,18.5,160960,79.8,82180,40.7
"wimd2019_quintile","2nd","2",0,216110,19.8,184420,85.3,98080,45.4
"wimd2019_quintile","3rd","3",0,217980,20,190050,87.2,104410,47.9
"wimd2019_quintile","4th","4",0,216460,19.9,194100,89.7,111840,51.7
"age_cat","80+","80+",0,103000,9.4,97600,94.8,78590,76.3
"age_cat","18-50","18-50",0,167440,15.4,112570,67.2,32670,19.5
"age_cat","50-65","50-65",0,470940,43.2,407460,86.5,154180,32.7
"age_cat","65-80","65-80",0,348700,32,329420,94.5,257480,73.8
"gndr_cd","Female","2",0,564740,51.8,499600,88.5,285120,50.5
"gndr_cd","Male","1",0,525340,48.2,447460,85.2,237800,45.3
"ethn_cat","White","w",0,1037320,95.2,916580,88.4,508980,49.1
"ethn_cat","Asian","a",0,17440,1.6,13600,78,6600,37.9
"ethn_cat","Black","b",0,4020,0.4,2520,62.7,1000,24.8
"ethn_cat","Mixed","m",0,4830,0.4,3310,68.5,1290,26.8
"ethn_cat","Other","o",0,4640,0.4,3360,72.4,1380,29.7
"ethn_cat","(Missing)",NA,0,21830,2,7690,35.2,3670,16.8
"bmi_cat","18.5-24.9","18.5-24.9",0,266650,24.5,224320,84.1,124890,46.8
"bmi_cat","<18.5","<18.5",0,18130,1.7,14030,77.4,7890,43.5
"bmi_cat","25-29.9","25-29.9",0,376720,34.6,330560,87.7,186630,49.5
"bmi_cat","30-39.9","30-39.9",0,362190,33.2,321000,88.6,175170,48.4
"bmi_cat","40+","40+",0,66390,6.1,57140,86.1,28340,42.7
"hh_cat","2 members","2",0,411340,37.7,377950,91.9,244790,59.5
"hh_cat","Alone","1",0,191040,17.5,168290,88.1,103800,54.3
"hh_cat","3 members","3",0,220070,20.2,189900,86.3,90830,41.3
"hh_cat","4 members","4",0,146810,13.5,121160,82.5,45510,31
"hh_cat","5 members","5",0,60880,5.6,46200,75.9,17170,28.2
"hh_cat","6-10 members","6-10",0,48300,4.4,33570,69.5,13790,28.5
"hh_cat","11+ members","11+",0,11650,1.1,9980,85.7,7030,60.4
"urban_rural_class","Urban","u",0,749510,68.8,645320,86.1,350710,46.8
"urban_rural_class","Rural","r",0,340580,31.2,301730,88.6,172200,50.6
"num_clinical_conditions_cat","No conditions","0",0,596230,54.7,528960,88.7,257740,43.2
"num_clinical_conditions_cat","1 condition","1",0,391060,35.9,322510,82.5,189700,48.5
"num_clinical_conditions_cat","2 conditions","2",0,79940,7.3,74020,92.6,57850,72.4
"num_clinical_conditions_cat","3 conditions","3",0,19030,1.7,17930,94.2,14620,76.8
"num_clinical_conditions_cat","4+ conditions","4+",0,3820,0.4,3640,95.3,3000,78.7
"health_board","Aneurin Bevan University Health Board","ab",0,196320,18,173050,88.1,97680,49.8
"health_board","Betsi Cadwaladr University Health Board","bc",0,227800,20.9,199910,87.8,116320,51.1
"health_board","Cardiff and Vale University Health Board","cv",0,160400,14.7,136720,85.2,73160,45.6
"health_board","Cwm Taf Morgannwg University Health Board","ct",0,181640,16.7,159260,87.7,82560,45.5
"health_board","Hywel Dda University Health Board","hd",0,140730,12.9,121350,86.2,67660,48.1
"health_board","Powys Teaching Health Board","pt",0,24500,2.2,22030,89.9,11820,48.2
"health_board","Swansea Bay University Health Board","sb",0,158700,14.6,134740,84.9,73730,46.5
