"xvar","xlbl","xlbl_cd","wimd_q","n","percent","n_c19_complete","perc_c19_complete","n_flu_complete","perc_flu_complete"
"total",NA,NA,3,237730,21.8,217520,91.5,126410,53.2
"age_cat","80+","80+",3,25400,10.7,24480,96.4,20470,80.6
"age_cat","18-50","18-50",3,28940,12.2,22070,76.2,6060,20.9
"age_cat","50-65","50-65",3,101310,42.6,91960,90.8,35110,34.7
"age_cat","65-80","65-80",3,82080,34.5,79020,96.3,64770,78.9
"gndr_cd","Female","2",3,123470,51.9,114720,92.9,68490,55.5
"gndr_cd","Male","1",3,114260,48.1,102800,90,57920,50.7
"ethn_cat","White","w",3,226980,95.5,210570,92.8,123200,54.3
"ethn_cat","Asian","a",3,4010,1.7,3370,84,1540,38.5
"ethn_cat","Black","b",3,530,0.2,400,75.7,160,30.6
"ethn_cat","Mixed","m",3,1100,0.5,850,77.4,330,30.1
"ethn_cat","Other","o",3,1140,0.5,880,77.7,390,34.3
"ethn_cat","(Missing)",NA,3,3970,1.7,1450,36.5,780,19.7
"bmi_cat","18.5-24.9","18.5-24.9",3,67170,28.3,60260,89.7,35340,52.6
"bmi_cat","<18.5","<18.5",3,4450,1.9,3750,84.4,2260,50.8
"bmi_cat","25-29.9","25-29.9",3,86530,36.4,79810,92.2,47570,55
"bmi_cat","30-39.9","30-39.9",3,70130,29.5,65020,92.7,36840,52.5
"bmi_cat","40+","40+",3,9450,4,8680,91.9,4400,46.5
"hh_cat","2 members","2",3,96900,40.8,92200,95.1,64070,66.1
"hh_cat","Alone","1",3,34940,14.7,32350,92.6,21560,61.7
"hh_cat","3 members","3",3,48850,20.5,44380,90.8,21700,44.4
"hh_cat","4 members","4",3,34640,14.6,30480,88,11340,32.7
"hh_cat","5 members","5",3,12240,5.1,10080,82.4,3740,30.5
"hh_cat","6-10 members","6-10",3,8130,3.4,6190,76.1,2650,32.6
"hh_cat","11+ members","11+",3,2020,0.9,1830,90.7,1360,67
"urban_rural_class","Urban","u",3,179180,75.4,163590,91.3,94220,52.6
"urban_rural_class","Rural","r",3,58560,24.6,53930,92.1,32190,55
"num_clinical_conditions_cat","No conditions","0",3,141960,59.7,131420,92.6,69920,49.2
"num_clinical_conditions_cat","1 condition","1",3,77440,32.6,68490,88.4,41960,54.2
"num_clinical_conditions_cat","2 conditions","2",3,14480,6.1,13910,96,11350,78.3
"num_clinical_conditions_cat","3 conditions","3",3,3280,1.4,3150,96,2700,82.4
"num_clinical_conditions_cat","4+ conditions","4+",3,560,0.2,550,97.2,480,84.9
"health_board","Aneurin Bevan University Health Board","ab",3,30400,12.8,28240,92.9,17330,57
"health_board","Betsi Cadwaladr University Health Board","bc",3,51450,21.6,47070,91.5,28940,56.3
"health_board","Cardiff and Vale University Health Board","cv",3,70200,29.5,64160,91.4,36510,52
"health_board","Cwm Taf Morgannwg University Health Board","ct",3,30740,12.9,28510,92.7,15300,49.8
"health_board","Hywel Dda University Health Board","hd",3,8540,3.6,7660,89.6,4530,53
"health_board","Powys Teaching Health Board","pt",3,1290,0.5,1200,92.7,780,60.6
"health_board","Swansea Bay University Health Board","sb",3,45110,19,40680,90.2,23020,51
