"vacc_seq","vacc_date","n","vacc_type"
"dose1",2020-12-07,3100,"c19"
"dose1",2020-12-14,6160,"c19"
"dose1",2020-12-21,5080,"c19"
"dose1",2020-12-28,5800,"c19"
"dose1",2021-01-04,18030,"c19"
"dose1",2021-01-11,31130,"c19"
"dose1",2021-01-18,71330,"c19"
"dose1",2021-01-25,100970,"c19"
"dose1",2021-02-01,124060,"c19"
"dose1",2021-02-08,114110,"c19"
"dose1",2021-02-15,50240,"c19"
"dose1",2021-02-22,39590,"c19"
"dose1",2021-03-01,45900,"c19"
"dose1",2021-03-08,78630,"c19"
"dose1",2021-03-15,87660,"c19"
"dose1",2021-03-22,72640,"c19"
"dose1",2021-03-29,51000,"c19"
"dose1",2021-04-05,34120,"c19"
"dose1",2021-04-12,16500,"c19"
"dose1",2021-04-19,9630,"c19"
"dose1",2021-04-26,8770,"c19"
"dose1",2021-05-03,7330,"c19"
"dose1",2021-05-10,9020,"c19"
"dose1",2021-05-17,7330,"c19"
"dose1",2021-05-24,4870,"c19"
"dose1",2021-05-31,4140,"c19"
"dose1",2021-06-07,3440,"c19"
"dose1",2021-06-14,2010,"c19"
"dose1",2021-06-21,1490,"c19"
"dose1",2021-06-28,930,"c19"
"dose1",2021-07-05,720,"c19"
"dose1",2021-07-12,600,"c19"
"dose1",2021-07-19,560,"c19"
"dose1",2021-07-26,510,"c19"
"dose1",2021-08-02,510,"c19"
"dose1",2021-08-09,450,"c19"
"dose1",2021-08-16,460,"c19"
"dose1",2021-08-23,590,"c19"
"dose1",2021-08-30,420,"c19"
"dose1",2021-09-06,400,"c19"
"dose1",2021-09-13,350,"c19"
"dose1",2021-09-20,240,"c19"
"dose1",2021-09-27,170,"c19"
"dose1",2021-10-04,200,"c19"
"dose1",2021-10-11,170,"c19"
"dose1",2021-10-18,150,"c19"
"dose1",2021-10-25,160,"c19"
"dose1",2021-11-01,160,"c19"
"dose1",2021-11-08,180,"c19"
"dose1",2021-11-15,200,"c19"
"dose1",2021-11-22,190,"c19"
"dose1",2021-11-29,200,"c19"
"dose1",2021-12-06,170,"c19"
"dose1",2021-12-13,260,"c19"
"dose1",2021-12-20,190,"c19"
"dose1",2021-12-27,150,"c19"
"dose1",2022-01-03,210,"c19"
"dose1",2022-01-10,200,"c19"
"dose1",2022-01-17,160,"c19"
"dose1",2022-01-24,130,"c19"
"dose1",2022-01-31,80,"c19"
"dose1",2022-02-07,70,"c19"
"dose1",2022-02-14,70,"c19"
"dose1",2022-02-21,70,"c19"
"dose1",2022-02-28,50,"c19"
"dose1",2022-03-07,40,"c19"
"dose1",2022-03-14,40,"c19"
"dose1",2022-03-21,30,"c19"
"dose1",2022-03-28,40,"c19"
"dose1",2022-04-04,30,"c19"
"dose1",2022-04-11,20,"c19"
"dose1",2022-04-18,20,"c19"
