"vacc_seq","vacc_date","n","vacc_type"
"18",2018-07-30,700,"flu"
"18",2018-08-06,20,"flu"
"18",2018-08-13,20,"flu"
"18",2018-08-20,40,"flu"
"18",2018-08-27,130,"flu"
"18",2018-09-03,580,"flu"
"18",2018-09-10,4810,"flu"
"18",2018-09-17,19820,"flu"
"18",2018-09-24,29410,"flu"
"18",2018-10-01,50360,"flu"
"18",2018-10-08,55840,"flu"
"18",2018-10-15,48970,"flu"
"18",2018-10-22,31090,"flu"
"18",2018-10-29,26680,"flu"
"18",2018-11-05,37970,"flu"
"18",2018-11-12,31390,"flu"
"18",2018-11-19,26640,"flu"
"18",2018-11-26,17040,"flu"
"18",2018-12-03,11730,"flu"
"18",2018-12-10,8360,"flu"
"18",2018-12-17,6020,"flu"
"18",2018-12-24,1150,"flu"
"18",2018-12-31,1940,"flu"
"18",2019-01-07,3220,"flu"
"18",2019-01-14,2750,"flu"
"18",2019-01-21,1980,"flu"
"18",2019-01-28,1720,"flu"
"18",2019-02-04,1340,"flu"
"18",2019-02-11,1180,"flu"
"18",2019-02-18,850,"flu"
"18",2019-02-25,560,"flu"
"18",2019-03-04,520,"flu"
"18",2019-03-11,380,"flu"
"18",2019-03-18,340,"flu"
"18",2019-03-25,220,"flu"
"18",2019-04-01,70,"flu"
"18",2019-04-08,40,"flu"
"18",2019-04-15,40,"flu"
"18",2019-04-29,30,"flu"
"18",2019-05-13,20,"flu"
"18",2019-05-20,10,"flu"
"18",2019-06-03,10,"flu"
"18",2019-06-17,10,"flu"
"18",2019-07-15,10,"flu"
"18",2019-07-22,10,"flu"
"19",2019-08-05,10,"flu"
"19",2019-08-12,40,"flu"
"19",2019-08-19,30,"flu"
"19",2019-08-26,60,"flu"
"19",2019-09-02,1080,"flu"
"19",2019-09-09,6760,"flu"
"19",2019-09-16,18480,"flu"
"19",2019-09-23,30720,"flu"
"19",2019-09-30,52440,"flu"
"19",2019-10-07,60550,"flu"
"19",2019-10-14,55060,"flu"
"19",2019-10-21,50820,"flu"
"19",2019-10-28,34630,"flu"
"19",2019-11-04,34250,"flu"
"19",2019-11-11,24600,"flu"
"19",2019-11-18,19220,"flu"
"19",2019-11-25,15420,"flu"
"19",2019-12-02,9760,"flu"
"19",2019-12-09,7900,"flu"
"19",2019-12-16,8560,"flu"
"19",2019-12-23,1780,"flu"
"19",2019-12-30,2410,"flu"
"19",2020-01-06,3630,"flu"
"19",2020-01-13,3050,"flu"
"19",2020-01-20,2580,"flu"
"19",2020-01-27,2300,"flu"
"19",2020-02-03,1780,"flu"
"19",2020-02-10,1710,"flu"
"19",2020-02-17,1130,"flu"
"19",2020-02-24,1150,"flu"
"19",2020-03-02,1210,"flu"
"19",2020-03-09,970,"flu"
"19",2020-03-16,470,"flu"
"19",2020-03-23,90,"flu"
"19",2020-03-30,30,"flu"
"19",2020-04-06,10,"flu"
"20",2020-08-03,10,"flu"
"20",2020-08-10,20,"flu"
"20",2020-08-17,140,"flu"
"20",2020-08-24,240,"flu"
"20",2020-08-31,1090,"flu"
"20",2020-09-07,3420,"flu"
"20",2020-09-14,21510,"flu"
