"vacc_seq","vacc_date","n","vacc_type"
"18",2018-09-17,90,"flu"
"18",2018-09-24,170,"flu"
"18",2018-10-01,330,"flu"
"18",2018-10-08,500,"flu"
"18",2018-10-15,430,"flu"
"18",2018-10-22,360,"flu"
"18",2018-10-29,250,"flu"
"18",2018-11-05,260,"flu"
"18",2018-11-12,240,"flu"
"18",2018-11-19,200,"flu"
"18",2018-11-26,150,"flu"
"18",2018-12-03,130,"flu"
"18",2018-12-10,110,"flu"
"18",2018-12-17,90,"flu"
"18",2018-12-24,30,"flu"
"18",2018-12-31,60,"flu"
"18",2019-01-07,90,"flu"
"18",2019-01-14,70,"flu"
"18",2019-01-21,70,"flu"
"18",2019-01-28,60,"flu"
"18",2019-02-04,60,"flu"
"18",2019-02-11,60,"flu"
"18",2019-02-18,50,"flu"
"18",2019-02-25,40,"flu"
"18",2019-03-04,40,"flu"
"18",2019-03-11,30,"flu"
"18",2019-03-18,30,"flu"
"18",2019-03-25,10,"flu"
"18",2019-04-01,20,"flu"
"18",2019-04-08,10,"flu"
"18",2019-04-15,10,"flu"
"19",2019-09-16,30,"flu"
"19",2019-09-23,90,"flu"
"19",2019-09-30,140,"flu"
"19",2019-10-07,190,"flu"
"19",2019-10-14,350,"flu"
"19",2019-10-21,390,"flu"
"19",2019-10-28,310,"flu"
"19",2019-11-04,360,"flu"
"19",2019-11-11,270,"flu"
"19",2019-11-18,230,"flu"
"19",2019-11-25,200,"flu"
"19",2019-12-02,160,"flu"
"19",2019-12-09,130,"flu"
"19",2019-12-16,130,"flu"
"19",2019-12-23,40,"flu"
"19",2019-12-30,60,"flu"
"19",2020-01-06,90,"flu"
"19",2020-01-13,60,"flu"
"19",2020-01-20,60,"flu"
"19",2020-01-27,50,"flu"
"19",2020-02-03,60,"flu"
"19",2020-02-10,40,"flu"
"19",2020-02-17,40,"flu"
"19",2020-02-24,40,"flu"
"19",2020-03-02,50,"flu"
"19",2020-03-09,60,"flu"
"19",2020-03-16,50,"flu"
"19",2020-03-23,20,"flu"
"20",2020-09-14,100,"flu"
"20",2020-09-21,390,"flu"
"20",2020-09-28,760,"flu"
"20",2020-10-05,1230,"flu"
"20",2020-10-12,1070,"flu"
"20",2020-10-19,930,"flu"
"20",2020-10-26,680,"flu"
"20",2020-11-02,610,"flu"
"20",2020-11-09,460,"flu"
"20",2020-11-16,540,"flu"
"20",2020-11-23,390,"flu"
"20",2020-11-30,350,"flu"
"20",2020-12-07,300,"flu"
"20",2020-12-14,220,"flu"
"20",2020-12-21,130,"flu"
"20",2020-12-28,90,"flu"
"20",2021-01-04,250,"flu"
"20",2021-01-11,220,"flu"
"20",2021-01-18,210,"flu"
"20",2021-01-25,150,"flu"
"20",2021-02-01,130,"flu"
"20",2021-02-08,150,"flu"
"20",2021-02-15,140,"flu"
"20",2021-02-22,130,"flu"
"20",2021-03-01,120,"flu"
"20",2021-03-08,120,"flu"
"20",2021-03-15,90,"flu"
"20",2021-03-22,80,"flu"
"20",2021-03-29,50,"flu"
"20",2021-04-05,30,"flu"
"20",2021-04-12,50,"flu"
"20",2021-04-19,30,"flu"
"20",2021-04-26,20,"flu"
"20",2021-05-03,10,"flu"
"20",2021-05-10,20,"flu"
"20",2021-05-17,10,"flu"
"20",2021-05-24,10,"flu"
"21",2021-09-06,30,"flu"
"21",2021-09-13,140,"flu"
"21",2021-09-20,330,"flu"
"21",2021-09-27,440,"flu"
"21",2021-10-04,630,"flu"
"21",2021-10-11,730,"flu"
"21",2021-10-18,710,"flu"
"21",2021-10-25,480,"flu"
"21",2021-11-01,590,"flu"
"21",2021-11-08,460,"flu"
"21",2021-11-15,520,"flu"
"21",2021-11-22,450,"flu"
"21",2021-11-29,400,"flu"
"21",2021-12-06,370,"flu"
"21",2021-12-13,280,"flu"
"21",2021-12-20,160,"flu"
"21",2021-12-27,70,"flu"
"21",2022-01-03,140,"flu"
"21",2022-01-10,180,"flu"
"21",2022-01-17,170,"flu"
"21",2022-01-24,140,"flu"
"21",2022-01-31,140,"flu"
"21",2022-02-07,100,"flu"
"21",2022-02-14,120,"flu"
"21",2022-02-21,70,"flu"
"21",2022-02-28,80,"flu"
"21",2022-03-07,80,"flu"
"21",2022-03-14,60,"flu"
"21",2022-03-21,50,"flu"
"21",2022-03-28,30,"flu"
"21",2022-04-04,30,"flu"
"21",2022-04-11,10,"flu"
"21",2022-04-25,10,"flu"
