england,,,,,,,
name,value,covid_event,flu_event,total_n,,,
age_cat,80+,267538,235262,284086,,,
age_cat,18-49,344481,134566,518797,,,
age_cat,50-64,1075663,548932,1288508,,,
age_cat,65-79,820863,695386,880589,,,
bmi_cat,18.5-24.9,734406,466556,874951,,,
bmi_cat,<18.5,36398,21411,51392,,,
bmi_cat,25.0-29.9,892453,596172,1024566,,,
bmi_cat,30.0-39.9,623825,419120,720309,,,
bmi_cat,40+,118387,71367,147123,,,
bmi_cat,missing,103076,39520,153639,,,
Ethnicity,M,15900,8287,24795,,,
Ethnicity,W,2121819,1408204,2424860,,,
Ethnicity,A,93830,56310,132246,,,
Ethnicity,B,35193,18352,70077,,,
Ethnicity,O,13389,7057,21953,,,
Ethnicity,missing,228414,115936,298049,,,
household_n_cat,1,819995,531280,999712,,,
household_n_cat,2,1129211,763699,1271468,,,
household_n_cat,3,355880,203806,431710,,,
household_n_cat,4,131402,69842,169531,,,
household_n_cat,5,33650,17981,47985,,,
household_n_cat,06-Oct,20364,12911,30560,,,
household_n_cat,11+,18043,14627,21014,,,
IMDQuintile,1,311107,186775,441290,,,
IMDQuintile,2,405168,251073,509800,,,
IMDQuintile,3,529143,340423,618323,,,
IMDQuintile,4,612923,401041,689667,,,
IMDQuintile,5,650204,434834,712900,,,
nrg_cat,0,1138378,628628,1341441,,,
nrg_cat,1,834264,542474,1025270,,,
nrg_cat,2,340293,272915,389489,,,
nrg_cat,3,132383,113910,146466,,,
nrg_cat,4+,63227,56219,69314,,,
Sex,F,1322522,877437,1539576,,,
Sex,M,1186023,736709,1432404,,,
UrbanRural,Urban,1854807,1177474,2250559,,,
UrbanRural,Rural,653738,436672,721421,,,
