Variable,Category,Total n,Complete COVID-19 vaccination n (%),Complete Influenza vaccination n (%)
Total,Total,4069770,"3,463,665 (85.1%)","2,140,806 (52.6%)"
IMD quintile,1st (Most deprived),644290,"  473,177 (73.4%)","  269,365 (41.8%)"
IMD quintile,2nd,727240,"  590,978 (81.3%)","  349,743 (48.1%)"
IMD quintile,3rd,838733,"  721,553 (86.0%)","  445,933 (53.2%)"
IMD quintile,4th,908077,"  809,023 (89.1%)","  513,901 (56.6%)"
IMD quintile,5th (Least deprived),951440,"  868,934 (91.3%)","  561,864 (59.1%)"
Sex,Female,2108856,"1,826,152 (86.6%)","1,164,597 (55.2%)"
Sex,Male,1960914,"1,637,503 (83.5%)","  976,209 (49.8%)"
Age,18-49,691367,"  461,171 (66.7%)","  168,466 (24.4%)"
Age,50-64,1760428,"1,485,313 (84.4%)","  704,012 (40.0%)"
Age,65-79,1230429,"1,151,453 (93.6%)","  954,006 (77.5%)"
Age,80+,387546,"  365,718 (94.4%)","  314,322 (81.1%)"
BMI,<18.5,69482,"   50,408 (72.5%)","   29,121 (41.9%)"
BMI,18.5-24.9,1142351,"  959,426 (84.0%)","  591,476 (51.8%)"
BMI,25.0-29.9,1403586,"1,225,623 (87.3%)","  784,312 (55.9%)"
BMI,30.0-39.9,1085989,"  948,505 (87.3%)","  595,930 (54.9%)"
BMI,40.0+,214723,"  176,617 (82.3%)","  100,447 (46.8%)"
BMI,(BMI missing),153639,"  103,076 (67.1%)","   39,520 (25.7%)"
Ethnicity,White,3471040,"3,046,159 (87.8%)","1,920,774 (55.3%)"
Ethnicity,Asian,149816,"  107,580 (71.8%)","   62,990 (42.0%)"
Ethnicity,Black,74127,"   37,733 (50.9%)","   19,352 (26.1%)"
Ethnicity,Mixed,29685,"   19,250 (64.8%)","    9,597 (32.3%)"
Ethnicity,Other,26613,"   16,789 (63.1%)","    8,437 (31.7%)"
Ethnicity,(Ethnicity missing),318499,"  236,144 (74.1%)","  119,636 (37.6%)"
Household composition,Alone,1192102,"  989,595 (83.0%)","  635,830 (53.3%)"
Household composition,2 members,1684528,"1,509,001 (89.6%)","1,009,679 (59.9%)"
Household composition,3 members,653490,"  547,610 (83.8%)","  295,426 (45.2%)"
Household composition,4 members,318071,"  254,202 (79.9%)","  115,902 (36.4%)"
Household composition,5 members,109595,"   80,620 (73.6%)","   35,391 (32.3%)"
Household composition,6-10 members,79330,"   54,584 (68.8%)","   26,911 (33.9%)"
Household composition,11+ members,32664,"   28,053 (85.9%)","   21,677 (66.4%)"
No. of clinical conditions,No conditions,1928531,"1,660,138 (86.1%)","  879,908 (45.6%)"
No. of clinical conditions,1 condition,1428560,"1,167,734 (81.7%)","  738,784 (51.7%)"
No. of clinical conditions,2 conditions,472969,"  417,583 (88.3%)","  333,455 (70.5%)"
No. of clinical conditions,3 conditions,166366,"  151,143 (90.8%)","  129,260 (77.7%)"
No. of clinical conditions,4+ conditions,73344,"   67,067 (91.4%)","   59,389 (81.0%)"
Urban/rural class,Urban,3004379,"2,504,807 (83.4%)","1,530,164 (50.9%)"
Urban/rural class,Rural,1065401,"  958,848 (90.0%)","  610,642 (57.3%)"
