"xvar","xlbl","xlbl_cd","wimd_q","n","percent","n_c19_complete","perc_c19_complete","n_flu_complete","perc_flu_complete"
"total",NA,NA,0,1097790,100,955120,87,526660,48
"wimd2019_quintile","5th (Least deprived)","5",0,238540,21.7,218730,91.7,127030,53.3
"wimd2019_quintile","1st (Most deprived)","1",0,203000,18.5,162070,79.8,82590,40.7
"wimd2019_quintile","2nd","2",0,217440,19.8,185810,85.5,98670,45.4
"wimd2019_quintile","3rd","3",0,220410,20.1,192410,87.3,105510,47.9
"wimd2019_quintile","4th","4",0,218410,19.9,196100,89.8,112860,51.7
"age_cat","80+","80+",0,103460,9.4,98180,94.9,79060,76.4
"age_cat","18-50","18-50",0,172570,15.7,116690,67.6,33900,19.6
"age_cat","50-65","50-65",0,471920,43,409650,86.8,155080,32.9
"age_cat","65-80","65-80",0,349840,31.9,330590,94.5,258620,73.9
"gndr_cd","Female","2",0,569280,51.9,503630,88.5,287160,50.4
"gndr_cd","Male","1",0,528510,48.1,451480,85.4,239500,45.3
"ethn_cat","White","w",0,1046180,95.3,924340,88.4,512570,49
"ethn_cat","Asian","a",0,17570,1.6,13750,78.3,6680,38
"ethn_cat","Black","b",0,4050,0.4,2540,62.7,1000,24.8
"ethn_cat","Mixed","m",0,4890,0.4,3350,68.5,1310,26.8
"ethn_cat","Other","o",0,4660,0.4,3400,72.9,1380,29.7
"ethn_cat","(Missing)",NA,0,20450,1.9,7730,37.8,3700,18.1
"bmi_cat","18.5-24.9","18.5-24.9",0,267400,24.4,225020,84.1,124920,46.7
"bmi_cat","<18.5","<18.5",0,18090,1.6,14010,77.4,7710,42.6
"bmi_cat","25-29.9","25-29.9",0,379020,34.5,333170,87.9,188140,49.6
"bmi_cat","30-39.9","30-39.9",0,365680,33.3,324680,88.8,176810,48.4
"bmi_cat","40+","40+",0,67600,6.2,58230,86.1,29080,43
"hh_cat","2 members","2",0,413060,37.6,379790,91.9,245980,59.5
"hh_cat","Alone","1",0,192390,17.5,169600,88.2,104550,54.3
"hh_cat","3 members","3",0,221780,20.2,191730,86.4,91620,41.3
"hh_cat","4 members","4",0,148540,13.5,122800,82.7,46060,31
"hh_cat","5 members","5",0,61610,5.6,46970,76.2,17410,28.3
"hh_cat","6-10 members","6-10",0,48770,4.4,34220,70.2,14000,28.7
"hh_cat","11+ members","11+",0,11650,1.1,10010,85.9,7050,60.5
"urban_rural_class","Urban","u",0,753820,68.7,650000,86.2,352690,46.8
"urban_rural_class","Rural","r",0,343980,31.3,305110,88.7,173970,50.6
"num_clinical_conditions_cat","No conditions","0",0,587090,53.5,521760,88.9,251280,42.8
"num_clinical_conditions_cat","1 condition","1",0,403290,36.7,333470,82.7,196310,48.7
"num_clinical_conditions_cat","2 conditions","2",0,83480,7.6,77290,92.6,60540,72.5
"num_clinical_conditions_cat","3 conditions","3",0,19900,1.8,18760,94.2,15350,77.2
"num_clinical_conditions_cat","4+ conditions","4+",0,4030,0.4,3840,95.2,3170,78.8
"health_board","Aneurin Bevan University Health Board","ab",0,198960,18.1,175400,88.2,98650,49.6
"health_board","Betsi Cadwaladr University Health Board","bc",0,230500,21,202350,87.8,117480,51
"health_board","Cardiff and Vale University Health Board","cv",0,160790,14.6,137480,85.5,73460,45.7
"health_board","Cwm Taf Morgannwg University Health Board","ct",0,182670,16.6,160220,87.7,82940,45.4
"health_board","Hywel Dda University Health Board","hd",0,141580,12.9,122370,86.4,68210,48.2
"health_board","Powys Teaching Health Board","pt",0,24670,2.2,22190,90,11960,48.5
"health_board","Swansea Bay University Health Board","sb",0,158620,14.4,135100,85.2,73950,46.6
