vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,1.06,1.05,1.08
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,1.41,1.36,1.47
NA,Age,50-64,1.28,1.24,1.32
NA,Age,65-79,0.90,0.87,0.93
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,1.22,1.13,1.30
NA,Ethnicity,Asian,1.29,1.24,1.34
NA,Ethnicity,Black,1.20,1.11,1.29
NA,Ethnicity,Other,1.14,1.04,1.25
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.92,0.87,0.98
NA,BMI,25.0-29.9,1.12,1.09,1.14
NA,BMI,30.0-39.9,1.19,1.17,1.22
NA,BMI,40.0+,1.18,1.14,1.23
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.07,1.06,1.09
NA,No. QCovid comorbidities,rsk 2,1.10,1.07,1.13
NA,No. QCovid comorbidities,rsk 3,1.12,1.07,1.17
NA,No. QCovid comorbidities,rsk 4+,1.09,1.01,1.17
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.09,1.06,1.12
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,1.11,1.09,1.13
NA,Number of household members,hh 3,1.07,1.05,1.10
NA,Number of household members,hh 4,1.06,1.03,1.09
NA,Number of household members,hh 5,1.10,1.05,1.15
NA,Number of household members,hh 6-10,1.09,1.03,1.15
NA,Number of household members,hh 7+,1.30,1.18,1.43
