Variable,Category,COVID-19 uptake OR (95% CI),Influenza uptake OR (95% CI)
IMD quintile,1st (Most deprived),0.34 (0.34-0.35),0.57 (0.57-0.58)
IMD quintile,2nd,0.49 (0.48-0.49),0.69 (0.68-0.69)
IMD quintile,3rd,0.61 (0.60-0.62),0.78 (0.77-0.78)
IMD quintile,4th,0.76 (0.75-0.77),0.87 (0.86-0.87)
IMD quintile,5th (Least deprived),1,1
Sex,Female,1,1
Sex,Male,0.83 (0.83-0.84),0.81 (0.80-0.81)
Age,18-49,0.13 (0.13-0.13),0.07 (0.07-0.07)
Age,50-64,0.39 (0.38-0.39),0.21 (0.21-0.21)
Age,65-79,0.84 (0.83-0.86),0.93 (0.93-0.94)
Age,80+,1,1
BMI,<18.5,0.64 (0.62-0.65),0.72 (0.71-0.74)
BMI,18.5-24.9,1,1
BMI,25.0-29.9,1.26 (1.25-1.27),1.14 (1.14-1.15)
BMI,30.0-39.9,1.39 (1.38-1.40),1.19 (1.19-1.20)
BMI,40.0+,1.59 (1.57-1.61),1.51 (1.50-1.53)
Ethnicity,White,1,1
Ethnicity,Asian,0.63 (0.62-0.64),0.87 (0.86-0.88)
Ethnicity,Black,0.30 (0.29-0.30),0.46 (0.45-0.47)
Ethnicity,Mixed,0.54 (0.53-0.55),0.73 (0.71-0.74)
Ethnicity,Other,0.41 (0.40-0.42),0.59 (0.58-0.61)
Household composition,Alone,0.63 (0.63-0.64),0.70 (0.70-0.71)
Household composition,2 members,1,1
Household composition,3 members,0.78 (0.77-0.78),0.80 (0.80-0.81)
Household composition,4 members,0.69 (0.68-0.70),0.70 (0.69-0.70)
Household composition,5 members,0.54 (0.53-0.55),0.60 (0.59-0.61)
Household composition,6-10 members,0.42 (0.41-0.42),0.56 (0.55-0.57)
Household composition,11+ members,0.56 (0.54-0.58),0.73 (0.71-0.75)
No. of clinical conditions,No conditions,1,1
No. of clinical conditions,1 condition,1.26 (1.25-1.27),2.03 (2.02-2.04)
No. of clinical conditions,2 conditions,1.50 (1.48-1.51),2.99 (2.96-3.01)
No. of clinical conditions,3 conditions,1.56 (1.53-1.59),3.22 (3.18-3.26)
No. of clinical conditions,4+ conditions,1.54 (1.50-1.59),3.37 (3.30-3.44)
Urban/rural class,Urban,1,1
Urban/rural class,Rural,1.21 (1.20-1.22),1.08 (1.07-1.08)
