vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,0.77,0.76,0.78
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,0.13,0.12,0.13
NA,Age,50-64,0.42,0.41,0.44
NA,Age,65-79,0.89,0.86,0.93
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.47,0.44,0.50
NA,Ethnicity,Asian,0.57,0.55,0.60
NA,Ethnicity,Black,0.25,0.24,0.27
NA,Ethnicity,Other,0.36,0.33,0.39
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.63,0.61,0.67
NA,BMI,25.0-29.9,1.22,1.20,1.24
NA,BMI,30.0-39.9,1.31,1.28,1.33
NA,BMI,40.0+,1.47,1.41,1.52
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.33,1.31,1.36
NA,No. QCovid comorbidities,rsk 2,1.64,1.59,1.69
NA,No. QCovid comorbidities,rsk 3,1.72,1.62,1.82
NA,No. QCovid comorbidities,rsk 4+,1.62,1.48,1.78
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.08,1.06,1.10
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.56,0.55,0.57
NA,Number of household members,hh 3,0.73,0.71,0.74
NA,Number of household members,hh 4,0.62,0.60,0.64
NA,Number of household members,hh 5,0.49,0.47,0.51
NA,Number of household members,hh 6-10,0.37,0.35,0.39
NA,Number of household members,hh 7+,0.48,0.43,0.53
