vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,0.80,0.79,0.80
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,0.06,0.06,0.06
NA,Age,50-64,0.20,0.19,0.20
NA,Age,65-79,0.96,0.94,0.98
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.68,0.64,0.71
NA,Ethnicity,Asian,0.72,0.69,0.74
NA,Ethnicity,Black,0.43,0.40,0.46
NA,Ethnicity,Other,0.54,0.50,0.58
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.75,0.72,0.78
NA,BMI,25.0-29.9,1.11,1.10,1.12
NA,BMI,30.0-39.9,1.12,1.11,1.14
NA,BMI,40.0+,1.46,1.42,1.50
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.99,1.97,2.01
NA,No. QCovid comorbidities,rsk 2,2.90,2.84,2.96
NA,No. QCovid comorbidities,rsk 3,3.09,2.99,3.20
NA,No. QCovid comorbidities,rsk 4+,3.30,3.11,3.49
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.04,1.03,1.06
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.69,0.68,0.69
NA,Number of household members,hh 3,0.80,0.79,0.81
NA,Number of household members,hh 4,0.69,0.68,0.70
NA,Number of household members,hh 5,0.61,0.59,0.63
NA,Number of household members,hh 6-10,0.57,0.54,0.59
NA,Number of household members,hh 7+,0.66,0.61,0.70
