"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-50","18-50","5","c19","adj",-2.249,0.106,0.097,0.115,0.043,-52.3,0
"age_cat","50-65","50-65","5","c19","adj",-0.988,0.372,0.344,0.402,0.0396,-24.95,0
"age_cat","65-80","65-80","5","c19","adj",-0.17,0.844,0.779,0.914,0.0409,-4.15,0
"gndr_cd","Male","1","5","c19","adj",-0.249,0.779,0.755,0.804,0.0161,-15.51,0
"ethn_cat","Asian","a","5","c19","adj",-0.488,0.614,0.56,0.674,0.0473,-10.31,0
"ethn_cat","Black","b","5","c19","adj",-1.232,0.292,0.236,0.36,0.1078,-11.43,0
"ethn_cat","Mixed","m","5","c19","adj",-0.803,0.448,0.385,0.522,0.0775,-10.36,0
"ethn_cat","Other","o","5","c19","adj",-0.964,0.381,0.327,0.444,0.078,-12.36,0
"ethn_cat","(Missing)","missing","5","c19","adj",-3.037,0.048,0.045,0.052,0.0375,-81.09,0
"bmi_cat","<18.5","<18.5","5","c19","adj",-0.478,0.62,0.563,0.682,0.0486,-9.84,0
"bmi_cat","25-29.9","25-29.9","5","c19","adj",0.274,1.316,1.266,1.367,0.0195,14.07,0
"bmi_cat","30-39.9","30-39.9","5","c19","adj",0.4,1.492,1.432,1.555,0.021,19.07,0
"bmi_cat","40+","40+","5","c19","adj",0.663,1.941,1.784,2.112,0.043,15.41,0
"urban_rural_class","Rural","r","5","c19","adj",0.077,1.08,1.039,1.123,0.0196,3.93,1e-04
"hh_cat","Alone","1","5","c19","adj",-0.53,0.589,0.558,0.621,0.0271,-19.57,0
"hh_cat","3 members","3","5","c19","adj",-0.232,0.793,0.757,0.83,0.0237,-9.8,0
"hh_cat","4 members","4","5","c19","adj",-0.279,0.757,0.721,0.795,0.025,-11.14,0
"hh_cat","5 members","5","5","c19","adj",-0.632,0.532,0.5,0.565,0.0314,-20.12,0
"hh_cat","6-10 members","6-10","5","c19","adj",-1.038,0.354,0.331,0.379,0.0341,-30.4,0
"hh_cat","11+ members","11+","5","c19","adj",-0.628,0.534,0.448,0.635,0.0889,-7.06,0
"num_clinical_conditions_cat","1 condition","1","5","c19","adj",0.144,1.155,1.104,1.207,0.0227,6.34,0
"num_clinical_conditions_cat","2 conditions","2","5","c19","adj",0.418,1.518,1.388,1.661,0.0458,9.13,0
"num_clinical_conditions_cat","3 conditions","3","5","c19","adj",0.104,1.109,0.927,1.328,0.0918,1.13,0.258
"num_clinical_conditions_cat","4+ conditions","4+","5","c19","adj",0.197,1.218,0.764,1.941,0.2378,0.83,0.4075
"health_board","Betsi Cadwaladr University Health Board","bc","5","c19","adj",-0.278,0.757,0.715,0.802,0.0293,-9.49,0
"health_board","Cardiff and Vale University Health Board","cv","5","c19","adj",-0.08,0.923,0.874,0.975,0.0279,-2.89,0.0039
"health_board","Cwm Taf Morgannwg University Health Board","ct","5","c19","adj",0.039,1.039,0.974,1.109,0.0333,1.16,0.2475
"health_board","Hywel Dda University Health Board","hd","5","c19","adj",-0.401,0.669,0.612,0.732,0.0457,-8.78,0
"health_board","Powys Teaching Health Board","pt","5","c19","adj",-0.149,0.862,0.684,1.086,0.118,-1.26,0.2066
"health_board","Swansea Bay University Health Board","sb","5","c19","adj",-0.325,0.723,0.682,0.766,0.0293,-11.07,0
"age_cat","18-50","18-50","5","flu","adj",-2.941,0.053,0.05,0.055,0.0246,-119.75,0
"age_cat","50-65","50-65","5","flu","adj",-1.806,0.164,0.158,0.171,0.0191,-94.57,0
"age_cat","65-80","65-80","5","flu","adj",-0.009,0.991,0.954,1.029,0.0191,-0.48,0.6328
"gndr_cd","Male","1","5","flu","adj",-0.19,0.827,0.812,0.843,0.0097,-19.51,0
"ethn_cat","Asian","a","5","flu","adj",-0.359,0.698,0.648,0.753,0.0383,-9.36,0
"ethn_cat","Black","b","5","flu","adj",-0.701,0.496,0.403,0.611,0.1061,-6.6,0
"ethn_cat","Mixed","m","5","flu","adj",-0.456,0.634,0.548,0.733,0.0742,-6.15,0
"ethn_cat","Other","o","5","flu","adj",-0.493,0.611,0.531,0.704,0.0721,-6.84,0
"ethn_cat","(Missing)","missing","5","flu","adj",-1.44,0.237,0.217,0.259,0.0455,-31.64,0
"bmi_cat","<18.5","<18.5","5","flu","adj",-0.226,0.798,0.742,0.858,0.037,-6.1,0
"bmi_cat","25-29.9","25-29.9","5","flu","adj",0.109,1.115,1.088,1.142,0.0122,8.93,0
"bmi_cat","30-39.9","30-39.9","5","flu","adj",0.097,1.102,1.075,1.13,0.0128,7.59,0
"bmi_cat","40+","40+","5","flu","adj",0.331,1.392,1.323,1.465,0.0261,12.69,0
"urban_rural_class","Rural","r","5","flu","adj",0.058,1.06,1.036,1.084,0.0117,4.98,0
"hh_cat","Alone","1","5","flu","adj",-0.433,0.648,0.63,0.668,0.015,-28.84,0
"hh_cat","3 members","3","5","flu","adj",-0.301,0.74,0.722,0.76,0.0131,-22.98,0
"hh_cat","4 members","4","5","flu","adj",-0.452,0.636,0.617,0.655,0.0153,-29.64,0
"hh_cat","5 members","5","5","flu","adj",-0.606,0.546,0.521,0.571,0.0233,-25.96,0
"hh_cat","6-10 members","6-10","5","flu","adj",-0.687,0.503,0.476,0.532,0.0282,-24.37,0
"hh_cat","11+ members","11+","5","flu","adj",-0.356,0.7,0.629,0.78,0.055,-6.47,0
"num_clinical_conditions_cat","1 condition","1","5","flu","adj",0.769,2.158,2.108,2.21,0.0121,63.67,0
"num_clinical_conditions_cat","2 conditions","2","5","flu","adj",1.013,2.754,2.63,2.885,0.0236,42.88,0
"num_clinical_conditions_cat","3 conditions","3","5","flu","adj",0.913,2.491,2.26,2.745,0.0495,18.42,0
"num_clinical_conditions_cat","4+ conditions","4+","5","flu","adj",0.849,2.337,1.854,2.946,0.1182,7.18,0
"health_board","Betsi Cadwaladr University Health Board","bc","5","flu","adj",-0.159,0.853,0.825,0.882,0.0171,-9.32,0
"health_board","Cardiff and Vale University Health Board","cv","5","flu","adj",-0.235,0.791,0.766,0.816,0.0161,-14.61,0
