"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"wimd2019_quintile","1st (Most deprived)","1","0","c19","adj",-0.923,0.397,0.389,0.405,0.0102,-90.54,0
"wimd2019_quintile","2nd","2","0","c19","adj",-0.62,0.538,0.527,0.549,0.0105,-58.82,0
"wimd2019_quintile","3rd","3","0","c19","adj",-0.467,0.627,0.614,0.64,0.0108,-43.26,0
"wimd2019_quintile","4th","4","0","c19","adj",-0.251,0.778,0.761,0.795,0.0112,-22.43,0
"age_cat","18-50","18-50","0","c19","adj",-2.311,0.099,0.096,0.103,0.0172,-134.24,0
"age_cat","50-65","50-65","0","c19","adj",-1.058,0.347,0.336,0.358,0.0162,-65.46,0
"age_cat","65-80","65-80","0","c19","adj",-0.193,0.824,0.797,0.852,0.0168,-11.49,0
"gndr_cd","Male","1","0","c19","adj",-0.176,0.839,0.829,0.849,0.0062,-28.26,0
"ethn_cat","Asian","a","0","c19","adj",-0.278,0.757,0.727,0.788,0.0205,-13.58,0
"ethn_cat","Black","b","0","c19","adj",-1.086,0.338,0.315,0.362,0.0358,-30.28,0
"ethn_cat","Mixed","m","0","c19","adj",-0.762,0.467,0.437,0.499,0.0338,-22.54,0
"ethn_cat","Other","o","0","c19","adj",-0.657,0.518,0.483,0.556,0.036,-18.25,0
"ethn_cat","(Missing)","missing","0","c19","adj",-2.663,0.07,0.068,0.072,0.0159,-167.54,0
"bmi_cat","<18.5","<18.5","0","c19","adj",-0.42,0.657,0.631,0.685,0.0208,-20.18,0
"bmi_cat","25-29.9","25-29.9","0","c19","adj",0.287,1.332,1.311,1.353,0.0079,36.09,0
"bmi_cat","30-39.9","30-39.9","0","c19","adj",0.454,1.574,1.549,1.6,0.0082,55.6,0
"bmi_cat","40+","40+","0","c19","adj",0.717,2.048,1.993,2.103,0.0137,52.31,0
"urban_rural_class","Rural","r","0","c19","adj",0.084,1.088,1.071,1.104,0.0078,10.83,0
"hh_cat","Alone","1","0","c19","adj",-0.458,0.633,0.621,0.645,0.0097,-46.97,0
"hh_cat","3 members","3","0","c19","adj",-0.181,0.835,0.82,0.85,0.0091,-19.8,0
"hh_cat","4 members","4","0","c19","adj",-0.222,0.801,0.786,0.817,0.0099,-22.5,0
"hh_cat","5 members","5","0","c19","adj",-0.524,0.592,0.578,0.606,0.0122,-42.84,0
"hh_cat","6-10 members","6-10","0","c19","adj",-0.815,0.443,0.432,0.454,0.0129,-63.33,0
"hh_cat","11+ members","11+","0","c19","adj",-0.583,0.558,0.526,0.593,0.0304,-19.17,0
"num_clinical_conditions_cat","1 condition","1","0","c19","adj",0.142,1.153,1.134,1.172,0.0083,17.06,0
"num_clinical_conditions_cat","2 conditions","2","0","c19","adj",0.335,1.398,1.358,1.44,0.0151,22.23,0
"num_clinical_conditions_cat","3 conditions","3","0","c19","adj",0.25,1.284,1.206,1.368,0.0322,7.78,0
