"","vacc_seq","vacc_date","n","vacc_type"
"1","FirstVaccinationDoseDate",2020-12-06,4280,"COVID-19"
"2","FirstVaccinationDoseDate",2020-12-13,47420,"COVID-19"
"3","FirstVaccinationDoseDate",2020-12-20,34410,"COVID-19"
"4","FirstVaccinationDoseDate",2020-12-27,25750,"COVID-19"
"5","FirstVaccinationDoseDate",2021-01-03,79680,"COVID-19"
"6","FirstVaccinationDoseDate",2021-01-10,142010,"COVID-19"
"7","FirstVaccinationDoseDate",2021-01-17,212190,"COVID-19"
"8","FirstVaccinationDoseDate",2021-01-24,215020,"COVID-19"
"9","FirstVaccinationDoseDate",2021-01-31,258980,"COVID-19"
"10","FirstVaccinationDoseDate",2021-02-07,250300,"COVID-19"
"11","FirstVaccinationDoseDate",2021-02-14,219110,"COVID-19"
"12","FirstVaccinationDoseDate",2021-02-21,223230,"COVID-19"
"13","FirstVaccinationDoseDate",2021-02-28,172670,"COVID-19"
"14","FirstVaccinationDoseDate",2021-03-07,171630,"COVID-19"
"15","FirstVaccinationDoseDate",2021-03-14,297000,"COVID-19"
"16","FirstVaccinationDoseDate",2021-03-21,163830,"COVID-19"
"17","FirstVaccinationDoseDate",2021-03-28,53270,"COVID-19"
"18","FirstVaccinationDoseDate",2021-04-04,13110,"COVID-19"
"19","FirstVaccinationDoseDate",2021-04-11,10510,"COVID-19"
"20","FirstVaccinationDoseDate",2021-04-18,10700,"COVID-19"
"21","FirstVaccinationDoseDate",2021-04-25,10060,"COVID-19"
"22","FirstVaccinationDoseDate",2021-05-02,9910,"COVID-19"
"23","FirstVaccinationDoseDate",2021-05-09,13060,"COVID-19"
"24","FirstVaccinationDoseDate",2021-05-16,14880,"COVID-19"
"25","FirstVaccinationDoseDate",2021-05-23,11900,"COVID-19"
"26","FirstVaccinationDoseDate",2021-05-30,8530,"COVID-19"
"27","FirstVaccinationDoseDate",2021-06-06,10310,"COVID-19"
"28","FirstVaccinationDoseDate",2021-06-13,11950,"COVID-19"
"29","FirstVaccinationDoseDate",2021-06-20,10870,"COVID-19"
"30","FirstVaccinationDoseDate",2021-06-27,7550,"COVID-19"
"31","FirstVaccinationDoseDate",2021-07-04,5160,"COVID-19"
"32","FirstVaccinationDoseDate",2021-07-11,3680,"COVID-19"
"33","FirstVaccinationDoseDate",2021-07-18,2760,"COVID-19"
"34","FirstVaccinationDoseDate",2021-07-25,2270,"COVID-19"
"35","FirstVaccinationDoseDate",2021-08-01,2050,"COVID-19"
"36","FirstVaccinationDoseDate",2021-08-08,1750,"COVID-19"
"37","FirstVaccinationDoseDate",2021-08-15,1530,"COVID-19"
"38","FirstVaccinationDoseDate",2021-08-22,1490,"COVID-19"
"39","FirstVaccinationDoseDate",2021-08-29,1220,"COVID-19"
"40","FirstVaccinationDoseDate",2021-09-05,1220,"COVID-19"
"41","FirstVaccinationDoseDate",2021-09-12,1170,"COVID-19"
"42","FirstVaccinationDoseDate",2021-09-19,1100,"COVID-19"
"43","FirstVaccinationDoseDate",2021-09-26,940,"COVID-19"
"44","FirstVaccinationDoseDate",2021-10-03,870,"COVID-19"
"45","FirstVaccinationDoseDate",2021-10-10,950,"COVID-19"
"46","FirstVaccinationDoseDate",2021-10-17,920,"COVID-19"
"47","FirstVaccinationDoseDate",2021-10-24,850,"COVID-19"
"48","FirstVaccinationDoseDate",2021-10-31,800,"COVID-19"
