Vaccination date,COVID-19 Dose,Pooled n (COVID-19),England n (COVID-19),Wales n (COVID-19),Influenza season,Pooled n (flu),England n (flu),Wales n (flu)
2020-12-07,1,7410,4280,3130,2020,125460,100050,25410
2020-12-14,1,53640,47420,6220,2020,79430,62310,17120
2020-12-21,1,39540,34410,5130,2020,24640,19420,5220
2020-12-28,1,31580,25750,5830,2020,9960,7750,2210
2021-01-04,1,97910,79680,18230,2020,29570,22450,7120
2021-01-11,1,173480,142010,31470,2020,35940,31020,4920
2021-01-18,1,284000,212190,71810,2020,23870,21080,2790
2021-01-25,1,316490,215020,101470,2020,13210,11700,1510
2021-02-01,1,383590,258980,124610,2020,7060,6110,950
2021-02-08,1,364980,250300,114680,2020,4030,3430,600
2021-02-15,1,269670,219110,50560,2020,2900,2480,420
2021-02-22,1,263090,223230,39860,2020,1950,1650,300
2021-03-01,1,219030,172670,46360,2020,1470,1200,270
2021-03-08,1,251070,171630,79440,2020,1230,1070,160
2021-03-15,1,385600,297000,88600,2020,780,660,120
2021-03-22,1,237070,163830,73240,2020,640,540,100
2021-03-29,1,104610,53270,51340,2020,370,290,80
2021-04-05,1,47600,13110,34490,2020,10,0,10
2021-04-12,1,27400,10510,16890,2020,30,0,30
2021-04-19,1,20570,10700,9870,2020,10,0,10
2021-04-26,1,19110,10060,9050,2020,20,0,20
2021-05-03,1,17490,9910,7580,NA,NA,NA,NA
2021-05-10,1,22400,13060,9340,2020,20,0,20
2021-05-17,1,22480,14880,7600,NA,NA,NA,NA
2021-05-24,1,16900,11900,5000,NA,NA,NA,NA
2021-05-31,1,12830,8530,4300,NA,NA,NA,NA
2021-06-07,1,13850,10310,3540,NA,NA,NA,NA
2021-06-14,1,14010,11950,2060,NA,NA,NA,NA
2021-06-21,1,12410,10870,1540,NA,NA,NA,NA
2021-06-28,1,8500,7550,950,NA,NA,NA,NA
2021-07-05,1,5900,5160,740,NA,NA,NA,NA
2021-07-12,1,4300,3680,620,NA,NA,NA,NA
2021-07-19,1,3340,2760,580,NA,NA,NA,NA
2021-07-26,1,2790,2270,520,NA,NA,NA,NA
2021-08-02,1,2580,2050,530,NA,NA,NA,NA
2021-08-09,1,2210,1750,460,2021,30,0,30
2021-08-16,1,2000,1530,470,2021,50,0,50
2021-08-23,1,2080,1490,590,2021,60,0,60
2021-08-30,1,1650,1220,430,2021,910,210,700
2021-09-06,1,1620,1220,400,2021,49380,46030,3350
