"vacc_seq","vacc_date","n","vacc_type"
"dose1",2020-12-07,3130,"c19"
"dose1",2020-12-14,6220,"c19"
"dose1",2020-12-21,5130,"c19"
"dose1",2020-12-28,5830,"c19"
"dose1",2021-01-04,18230,"c19"
"dose1",2021-01-11,31470,"c19"
"dose1",2021-01-18,71810,"c19"
"dose1",2021-01-25,101470,"c19"
"dose1",2021-02-01,124610,"c19"
"dose1",2021-02-08,114680,"c19"
"dose1",2021-02-15,50560,"c19"
"dose1",2021-02-22,39860,"c19"
"dose1",2021-03-01,46360,"c19"
"dose1",2021-03-08,79440,"c19"
"dose1",2021-03-15,88600,"c19"
"dose1",2021-03-22,73240,"c19"
"dose1",2021-03-29,51340,"c19"
"dose1",2021-04-05,34490,"c19"
"dose1",2021-04-12,16890,"c19"
"dose1",2021-04-19,9870,"c19"
"dose1",2021-04-26,9050,"c19"
"dose1",2021-05-03,7580,"c19"
"dose1",2021-05-10,9340,"c19"
"dose1",2021-05-17,7600,"c19"
"dose1",2021-05-24,5000,"c19"
"dose1",2021-05-31,4300,"c19"
"dose1",2021-06-07,3540,"c19"
"dose1",2021-06-14,2060,"c19"
"dose1",2021-06-21,1540,"c19"
"dose1",2021-06-28,950,"c19"
"dose1",2021-07-05,740,"c19"
"dose1",2021-07-12,620,"c19"
"dose1",2021-07-19,580,"c19"
"dose1",2021-07-26,520,"c19"
"dose1",2021-08-02,530,"c19"
"dose1",2021-08-09,460,"c19"
"dose1",2021-08-16,470,"c19"
"dose1",2021-08-23,590,"c19"
"dose1",2021-08-30,430,"c19"
"dose1",2021-09-06,400,"c19"
"dose1",2021-09-13,360,"c19"
"dose1",2021-09-20,250,"c19"
"dose1",2021-09-27,170,"c19"
"dose1",2021-10-04,200,"c19"
"dose1",2021-10-11,170,"c19"
"dose1",2021-10-18,160,"c19"
"dose1",2021-10-25,160,"c19"
"dose1",2021-11-01,170,"c19"
"dose1",2021-11-08,180,"c19"
"dose1",2021-11-15,200,"c19"
"dose1",2021-11-22,190,"c19"
"dose1",2021-11-29,210,"c19"
"dose1",2021-12-06,170,"c19"
"dose1",2021-12-13,260,"c19"
"dose1",2021-12-20,190,"c19"
"dose1",2021-12-27,160,"c19"
"dose1",2022-01-03,210,"c19"
"dose1",2022-01-10,210,"c19"
"dose1",2022-01-17,160,"c19"
"dose1",2022-01-24,130,"c19"
"dose1",2022-01-31,80,"c19"
"dose1",2022-02-07,70,"c19"
"dose1",2022-02-14,70,"c19"
"dose1",2022-02-21,70,"c19"
"dose1",2022-02-28,50,"c19"
"dose1",2022-03-07,40,"c19"
"dose1",2022-03-14,40,"c19"
"dose1",2022-03-21,30,"c19"
"dose1",2022-03-28,30,"c19"
"dose1",2022-04-04,30,"c19"
"dose1",2022-04-11,20,"c19"
"dose1",2022-04-18,20,"c19"
"dose1",2022-04-25,20,"c19"
"dose1",2022-05-02,20,"c19"
"dose1",2022-05-09,20,"c19"
"dose1",2022-05-16,20,"c19"
"dose1",2022-05-23,10,"c19"
"dose1",2022-05-30,10,"c19"
"dose1",2022-06-06,20,"c19"
"dose1",2022-06-13,10,"c19"
"dose1",2022-06-20,10,"c19"
"dose1",2022-06-27,10,"c19"
"dose1",2022-07-04,10,"c19"
"dose1",2022-07-18,10,"c19"
"dose1",2022-07-25,10,"c19"
"dose1",2022-08-01,10,"c19"
"dose1",2022-08-15,10,"c19"
"dose1",2022-08-22,20,"c19"
"dose2",2020-12-28,50,"c19"
"dose2",2021-01-04,140,"c19"
"dose2",2021-01-11,120,"c19"
"dose2",2021-01-18,190,"c19"
"dose2",2021-01-25,140,"c19"
"dose2",2021-02-01,860,"c19"
"dose2",2021-02-08,1110,"c19"
"dose2",2021-02-15,15670,"c19"
"dose2",2021-02-22,25250,"c19"
"dose2",2021-03-01,38610,"c19"
"dose2",2021-03-08,49080,"c19"
"dose2",2021-03-15,51780,"c19"
"dose2",2021-03-22,49580,"c19"
"dose2",2021-03-29,32470,"c19"
"dose2",2021-04-05,45290,"c19"
"dose2",2021-04-12,51130,"c19"
"dose2",2021-04-19,58260,"c19"
"dose2",2021-04-26,56690,"c19"
"dose2",2021-05-03,51760,"c19"
"dose2",2021-05-10,46820,"c19"
"dose2",2021-05-17,55830,"c19"
"dose2",2021-05-24,68760,"c19"
"dose2",2021-05-31,82570,"c19"
"dose2",2021-06-07,77220,"c19"
"dose2",2021-06-14,55060,"c19"
"dose2",2021-06-21,29020,"c19"
"dose2",2021-06-28,16180,"c19"
"dose2",2021-07-05,12380,"c19"
"dose2",2021-07-12,10810,"c19"
"dose2",2021-07-19,8840,"c19"
"dose2",2021-07-26,7340,"c19"
"dose2",2021-08-02,5490,"c19"
"dose2",2021-08-09,3340,"c19"
"dose2",2021-08-16,2400,"c19"
"dose2",2021-08-23,1620,"c19"
"dose2",2021-08-30,1110,"c19"
"dose2",2021-09-06,910,"c19"
"dose2",2021-09-13,860,"c19"
"dose2",2021-09-20,700,"c19"
"dose2",2021-09-27,450,"c19"
"dose2",2021-10-04,390,"c19"
"dose2",2021-10-11,430,"c19"
"dose2",2021-10-18,540,"c19"
"dose2",2021-10-25,380,"c19"
"dose2",2021-11-01,430,"c19"
"dose2",2021-11-08,360,"c19"
"dose2",2021-11-15,410,"c19"
"dose2",2021-11-22,350,"c19"
"dose2",2021-11-29,340,"c19"
"dose2",2021-12-06,360,"c19"
"dose2",2021-12-13,550,"c19"
"dose2",2021-12-20,320,"c19"
"dose2",2021-12-27,260,"c19"
"dose2",2022-01-03,340,"c19"
"dose2",2022-01-10,280,"c19"
"dose2",2022-01-17,320,"c19"
"dose2",2022-01-24,220,"c19"
"dose2",2022-01-31,170,"c19"
"dose2",2022-02-07,160,"c19"
"dose2",2022-02-14,150,"c19"
"dose2",2022-02-21,150,"c19"
"dose2",2022-02-28,120,"c19"
"dose2",2022-03-07,170,"c19"
"dose2",2022-03-14,140,"c19"
"dose2",2022-03-21,90,"c19"
"dose2",2022-03-28,80,"c19"
"dose2",2022-04-04,60,"c19"
"dose2",2022-04-11,50,"c19"
"dose2",2022-04-18,70,"c19"
"dose2",2022-04-25,80,"c19"
"dose2",2022-05-02,60,"c19"
"dose2",2022-05-09,60,"c19"
"dose2",2022-05-16,60,"c19"
"dose2",2022-05-23,60,"c19"
"dose2",2022-05-30,30,"c19"
"dose2",2022-06-06,50,"c19"
"dose2",2022-06-13,30,"c19"
"dose2",2022-06-20,30,"c19"
"dose2",2022-06-27,30,"c19"
"dose2",2022-07-04,30,"c19"
"dose2",2022-07-11,30,"c19"
"dose2",2022-07-18,30,"c19"
"dose2",2022-07-25,30,"c19"
"dose2",2022-08-01,30,"c19"
"dose2",2022-08-08,30,"c19"
"dose2",2022-08-15,20,"c19"
"dose3",2021-09-13,2320,"c19"
"dose3",2021-09-20,20230,"c19"
"dose3",2021-09-27,40250,"c19"
"dose3",2021-10-04,46960,"c19"
"dose3",2021-10-11,50060,"c19"
"dose3",2021-10-18,65390,"c19"
"dose3",2021-10-25,56660,"c19"
"dose3",2021-11-01,69890,"c19"
"dose3",2021-11-08,73100,"c19"
"dose3",2021-11-15,70390,"c19"
"dose3",2021-11-22,67590,"c19"
"dose3",2021-11-29,72510,"c19"
"dose3",2021-12-06,75470,"c19"
"dose3",2021-12-13,106440,"c19"
"dose3",2021-12-20,51010,"c19"
"dose3",2021-12-27,30930,"c19"
"dose3",2022-01-03,21610,"c19"
"dose3",2022-01-10,11260,"c19"
"dose3",2022-01-17,6780,"c19"
"dose3",2022-01-24,3930,"c19"
"dose3",2022-01-31,3450,"c19"
"dose3",2022-02-07,2860,"c19"
"dose3",2022-02-14,1630,"c19"
"dose3",2022-02-21,1150,"c19"
"dose3",2022-02-28,1040,"c19"
"dose3",2022-03-07,640,"c19"
"dose3",2022-03-14,660,"c19"
"dose3",2022-03-21,520,"c19"
"dose3",2022-03-28,560,"c19"
"dose3",2022-04-04,570,"c19"
"dose3",2022-04-11,380,"c19"
"dose3",2022-04-18,520,"c19"
"dose3",2022-04-25,640,"c19"
"dose3",2022-05-02,510,"c19"
"dose3",2022-05-09,460,"c19"
"dose3",2022-05-16,550,"c19"
"dose3",2022-05-23,380,"c19"
"dose3",2022-05-30,210,"c19"
"dose3",2022-06-06,330,"c19"
"dose3",2022-06-13,280,"c19"
"dose3",2022-06-20,290,"c19"
"dose3",2022-06-27,300,"c19"
"dose3",2022-07-04,340,"c19"
"dose3",2022-07-11,270,"c19"
"dose3",2022-07-18,210,"c19"
"dose3",2022-07-25,170,"c19"
"dose3",2022-08-01,140,"c19"
"dose3",2022-08-08,160,"c19"
"dose3",2022-08-15,150,"c19"
"dose3",2022-08-22,100,"c19"
