"vacc_seq","vacc_date","n","vacc_type"
"20",2020-08-03,10,"flu"
"20",2020-08-10,20,"flu"
"20",2020-08-17,140,"flu"
"20",2020-08-24,240,"flu"
"20",2020-08-31,1100,"flu"
"20",2020-09-07,3430,"flu"
"20",2020-09-14,21600,"flu"
"20",2020-09-21,51090,"flu"
"20",2020-09-28,81560,"flu"
"20",2020-10-05,96490,"flu"
"20",2020-10-12,80180,"flu"
"20",2020-10-19,59790,"flu"
"20",2020-10-26,32950,"flu"
"20",2020-11-02,28420,"flu"
"20",2020-11-09,21180,"flu"
"20",2020-11-16,18000,"flu"
"20",2020-11-23,13210,"flu"
"20",2020-11-30,17890,"flu"
"20",2020-12-07,25410,"flu"
"20",2020-12-14,17120,"flu"
"20",2020-12-21,5220,"flu"
"20",2020-12-28,2210,"flu"
"20",2021-01-04,7120,"flu"
"20",2021-01-11,4920,"flu"
"20",2021-01-18,2790,"flu"
"20",2021-01-25,1510,"flu"
"20",2021-02-01,950,"flu"
"20",2021-02-08,600,"flu"
"20",2021-02-15,420,"flu"
"20",2021-02-22,300,"flu"
"20",2021-03-01,270,"flu"
"20",2021-03-08,160,"flu"
"20",2021-03-15,120,"flu"
"20",2021-03-22,100,"flu"
"20",2021-03-29,80,"flu"
"20",2021-04-05,10,"flu"
"20",2021-04-12,30,"flu"
"20",2021-04-19,10,"flu"
"20",2021-04-26,20,"flu"
"20",2021-05-10,20,"flu"
"21",2021-08-09,30,"flu"
"21",2021-08-16,50,"flu"
"21",2021-08-23,60,"flu"
"21",2021-08-30,700,"flu"
"21",2021-09-06,3350,"flu"
"21",2021-09-13,11500,"flu"
"21",2021-09-20,38940,"flu"
"21",2021-09-27,55450,"flu"
"21",2021-10-04,87060,"flu"
"21",2021-10-11,95770,"flu"
"21",2021-10-18,80610,"flu"
"21",2021-10-25,48150,"flu"
"21",2021-11-01,51960,"flu"
"21",2021-11-08,37390,"flu"
"21",2021-11-15,33540,"flu"
"21",2021-11-22,25780,"flu"
"21",2021-11-29,20260,"flu"
"21",2021-12-06,13470,"flu"
"21",2021-12-13,10110,"flu"
"21",2021-12-20,4480,"flu"
"21",2021-12-27,1400,"flu"
"21",2022-01-03,2320,"flu"
"21",2022-01-10,3030,"flu"
"21",2022-01-17,2420,"flu"
"21",2022-01-24,2180,"flu"
"21",2022-01-31,1240,"flu"
"21",2022-02-07,960,"flu"
"21",2022-02-14,660,"flu"
"21",2022-02-21,590,"flu"
"21",2022-02-28,580,"flu"
"21",2022-03-07,380,"flu"
"21",2022-03-14,270,"flu"
"21",2022-03-21,180,"flu"
"21",2022-03-28,150,"flu"
"21",2022-04-04,40,"flu"
"21",2022-04-11,10,"flu"
"21",2022-04-25,10,"flu"
