England,,,,,Wales,,,,,combined,,
name,value,covid_event,total_n,,xlbl,xlbl_cd,n_c19_complete,n,,covid_event,total_n,per_covid
age_cat,18-24,4951,18590,,18-24,18-24,1430,4730,,6381,23320,27.4
age_cat,25-29,10594,30252,,25-29,25-29,2660,7110,,13254,37362,35.5
age_cat,30-34,15846,35448,,30-34,30-34,3100,6950,,18946,42398,44.7
age_cat,35-39,9444,19349,,35-39,35-39,1390,2990,,10834,22339,48.5
age_cat,40-49,3915,7370,,40-49,40-49,220,510,,4135,7880,52.5
bmi_cat,<18.5,1617,4919,,<18.5,<18.5,220,730,,1837,5649,32.5
bmi_cat,18.5-24.9,20186,47983,,18.5-24.9,18.5-24.9,3350,8400,,23536,56383,41.7
bmi_cat,25.0-29.9,10956,26427,,25-29.9,25-29.9,2650,6600,,13606,33027,41.2
bmi_cat,30.0-39.9,7643,19074,,30-39.9,30-39.9,2230,5550,,9873,24624,40.1
bmi_cat,40+,1595,4048,,40+,40+,340,1010,,1935,5058,38.3
bmi_cat,missing,2753,8558,,missing,m,0,0,,2753,8558,32.2
Ethnicity,W,34719,81919,,White,w,8240,20770,,42959,102689,41.8
Ethnicity,A,4246,10575,,Asian,a,300,720,,4546,11295,40.2
Ethnicity,B,1178,5234,,Black,b,50,190,,1228,5424,22.6
Ethnicity,M,816,2472,,Mixed,m,80,260,,896,2732,32.8
Ethnicity,O,657,2142,,Other,o,100,270,,757,2412,31.4
Ethnicity,missing,3134,8667,,(Missing),NA,20,80,,3154,8747,36.1
household_n_cat,1,17212,47446,,Alone,1,660,1600,,17872,49046,36.4
household_n_cat,2,20925,45166,,2 members,2,2110,4930,,23035,50096,46.0
household_n_cat,3,3655,9662,,3 members,3,2700,6560,,6355,16222,39.2
household_n_cat,4,1734,4808,,4 members,4,1620,4300,,3354,9108,36.8
household_n_cat,5,632,1974,,5 members,5,860,2380,,1492,4354,34.3
household_n_cat,06-Oct,473,1627,,6-10 members,06-Oct,800,2380,,1273,4007,31.8
household_n_cat,11+,119,326,,11+ members,11+,40,140,,159,466,34.1
IMDQuintile,1,7177,26647,,1st (Most deprived),1,1840,5960,,9017,32607,27.7
IMDQuintile,2,8398,23261,,2nd,2,1780,4860,,10178,28121,36.2
IMDQuintile,3,9096,21265,,3rd,3,1710,4120,,10806,25385,42.6
IMDQuintile,4,10043,20882,,4th,4,1700,3810,,11743,24692,47.6
IMDQuintile,5,10036,18954,,5th (Least deprived),5,1760,3540,,11796,22494,52.4
nrg_cat,0,34306,84586,,No conditions,0,6980,16810,,41286,101396,40.7
nrg_cat,1,8408,21542,,1 condition,1,1770,5360,,10178,26902,37.8
nrg_cat,2,1682,4115,,2 conditions,2,40,110,,1722,4225,40.8
nrg_cat,3,281,611,,3 conditions,3,10,10,,291,621,46.9
nrg_cat,4+,73,155,,4 conditions,4+,0,0,,73,155,47.1
UrbanRural,Urban,36256,93666,,Urban,u,6400,16470,,42656,110136,38.7
UrbanRural,Rural,8494,17343,,Rural,r,2400,5810,,10894,23153,47.1
