Variable,Category,COVID-19 uptake OR (95% CI),Influenza uptake OR (95% CI)
Age,18-24,1.08 (0.90- 1.29),1.19 (1.01- 1.40)
Age,25-29,0.90 (0.76- 1.06),0.85 (0.73- 0.98)
Age,30-34,0.80 (0.68- 0.93),0.71 (0.62- 0.82)
Age,35-39,0.77 (0.65- 0.92),0.73 (0.62- 0.84)
Age,40-49,1,1
BMI,<18.5,0.87 (0.72- 1.06),1.04 (0.88- 1.22)
BMI,18.5-24.9,1,1
BMI,25.0-29.9,1.08 (0.99- 1.19),1.03 (0.95- 1.11)
BMI,30.0-39.9,1.16 (1.05- 1.29),1.16 (1.06- 1.26)
BMI,40.0+,1.61 (1.30- 1.99),1.32 (1.09- 1.59)
Ethnicity,White,1,1
Ethnicity,Asian,1.24 (1.07- 1.44),1.37 (1.21- 1.55)
Ethnicity,Black,0.99 (0.74- 1.31),1.34 (1.03- 1.73)
Ethnicity,Mixed,1.15 (0.90- 1.48),1.09 (0.88- 1.34)
Ethnicity,Other,1.03 (0.76- 1.39),0.93 (0.72- 1.20)
Household composition,Alone,1.02 (0.93- 1.11),0.90 (0.84- 0.97)
Household composition,2 members,1,1
Household composition,3 members,1.02 (0.89- 1.15),0.92 (0.83- 1.03)
Household composition,4 members,0.93 (0.78- 1.10),0.95 (0.83- 1.10)
Household composition,5 members,0.87 (0.68- 1.10),0.96 (0.79- 1.17)
Household composition,6-10 members,1.08 (0.82- 1.43),0.92 (0.73- 1.16)
Household composition,11+ members,2.26 (0.71- 7.18),1.14 (0.44- 2.96)
No. of clinical conditions,No conditions,1,1
No. of clinical conditions,1 condition,1.50 (1.37- 1.64),1.11 (1.02- 1.20)
No. of clinical conditions,2 conditions,1.56 (1.26- 1.92),1.13 (0.93- 1.37)
No. of clinical conditions,3 conditions,2.16 (1.25- 3.74),1.44 (0.87- 2.40)
No. of clinical conditions,4+ conditions,4.05 (1.15-14.27),1.22 (0.39- 3.84)
Urban/rural class,Urban,1,1
Urban/rural class,Rural,1.11 (0.96- 1.29),1.09 (0.96- 1.24)
