Variable,Category,COVID-19 uptake OR (95% CI),Influenza uptake OR (95% CI)
Age,18-24,0.37 (0.35-0.39),1.02 (0.97-1.08)
Age,25-29,0.49 (0.46-0.51),1.37 (1.31-1.44)
Age,30-34,0.68 (0.65-0.72),1.59 (1.52-1.66)
Age,35-39,0.80 (0.76-0.84),1.50 (1.43-1.57)
Age,40-49,1,1
BMI,<18.5,0.83 (0.78-0.88),0.82 (0.78-0.86)
BMI,18.5-24.9,1,1
BMI,25.0-29.9,1.03 (1.00-1.06),1.02 (1.00-1.05)
BMI,30.0-39.9,1.05 (1.02-1.08),1.02 (0.99-1.05)
BMI,40.0+,1.00 (0.94-1.07),1.16 (1.10-1.23)
Ethnicity,White,1,1
Ethnicity,Asian,1.01 (0.97-1.06),1.08 (1.04-1.12)
Ethnicity,Black,0.48 (0.45-0.51),0.61 (0.57-0.65)
Ethnicity,Mixed,0.80 (0.74-0.87),0.85 (0.79-0.91)
Ethnicity,Other,0.69 (0.63-0.76),0.80 (0.74-0.86)
Household composition,Alone,0.78 (0.76-0.80),0.82 (0.80-0.84)
Household composition,2 members,1,1
Household composition,3 members,0.87 (0.84-0.91),0.78 (0.75-0.80)
Household composition,4 members,0.83 (0.79-0.88),0.73 (0.70-0.76)
Household composition,5 members,0.77 (0.72-0.83),0.72 (0.68-0.77)
Household composition,6-10 members,0.70 (0.65-0.76),0.61 (0.57-0.65)
Household composition,11+ members,0.75 (0.62-0.92),0.47 (0.39-0.57)
No. of clinical conditions,No conditions,1,1
No. of clinical conditions,1 condition,0.82 (0.80-0.84),1.12 (1.09-1.15)
No. of clinical conditions,2 conditions,0.94 (0.88-1.00),1.21 (1.14-1.29)
No. of clinical conditions,3 conditions,1.16 (0.98-1.36),1.55 (1.34-1.81)
No. of clinical conditions,4+ conditions,1.12 (0.81-1.55),1.20 (0.88-1.64)
Urban/rural class,Urban,1,1
Urban/rural class,Rural,1.14 (1.10-1.17),1.11 (1.08-1.14)
