vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Age,25-29,1.00,1.00,1.00
NA,Age,18-24,1.20,1.06,1.36
NA,Age,30-34,0.90,0.82,0.99
NA,Age,35-39,0.87,0.78,0.97
NA,Age,40-49,1.12,0.95,1.31
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,1.15,0.90,1.48
NA,Ethnicity,Asian,1.24,1.07,1.44
NA,Ethnicity,Black,0.99,0.74,1.31
NA,Ethnicity,Other,1.03,0.76,1.39
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.87,0.72,1.06
NA,BMI,25.0-29.9,1.08,0.99,1.19
NA,BMI,30.0-39.9,1.16,1.05,1.29
NA,BMI,40.0+,1.61,1.30,1.99
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.50,1.37,1.64
NA,No. QCovid comorbidities,rsk 2,1.56,1.26,1.92
NA,No. QCovid comorbidities,rsk 3,2.16,1.25,3.74
NA,No. QCovid comorbidities,rsk 4+,4.05,1.15,14.27
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.11,0.96,1.29
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,1.02,0.93,1.11
NA,Number of household members,hh 3,1.02,0.89,1.15
NA,Number of household members,hh 4,0.93,0.78,1.10
NA,Number of household members,hh 5,0.87,0.68,1.10
NA,Number of household members,hh 6-10,1.08,0.82,1.43
NA,Number of household members,hh 7+,2.26,0.71,7.18
