vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Age,25-29,1.00,1.00,1.00
NA,Age,18-24,0.77,0.75,0.80
NA,Age,30-34,1.15,1.12,1.18
NA,Age,35-39,1.09,1.06,1.13
NA,Age,40-49,0.73,0.69,0.76
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.85,0.79,0.91
NA,Ethnicity,Asian,1.08,1.04,1.12
NA,Ethnicity,Black,0.61,0.57,0.65
NA,Ethnicity,Other,0.80,0.74,0.86
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,SES quintile,imd 1 - Most deprived,0.58,0.56,0.60
NA,SES quintile,imd 2,0.72,0.69,0.74
NA,SES quintile,imd 3,0.79,0.76,0.81
NA,SES quintile,imd 4,0.89,0.87,0.92
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.82,0.78,0.86
NA,BMI,25.0-29.9,1.02,1.00,1.05
NA,BMI,30.0-39.9,1.02,0.99,1.05
NA,BMI,40.0+,1.16,1.10,1.23
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.12,1.09,1.15
NA,No. QCovid comorbidities,rsk 2,1.21,1.14,1.29
NA,No. QCovid comorbidities,rsk 3,1.55,1.34,1.81
NA,No. QCovid comorbidities,rsk 4+,1.20,0.88,1.64
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.11,1.08,1.14
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.82,0.80,0.84
NA,Number of household members,hh 3,0.78,0.75,0.80
NA,Number of household members,hh 4,0.73,0.70,0.76
NA,Number of household members,hh 5,0.72,0.68,0.77
NA,Number of household members,hh 6-10,0.61,0.57,0.65
NA,Number of household members,hh 7+,0.47,0.39,0.57
