vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Age,40-49,1.00,1.00,1.00
NA,Age,18-24,0.37,0.35,0.39
NA,Age,25-29,0.49,0.46,0.51
NA,Age,30-34,0.68,0.65,0.72
NA,Age,35-39,0.80,0.76,0.84
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.80,0.74,0.87
NA,Ethnicity,Asian,1.01,0.97,1.06
NA,Ethnicity,Black,0.48,0.45,0.51
NA,Ethnicity,Other,0.69,0.63,0.76
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,SES quintile,imd 1 - Most deprived,0.44,0.43,0.46
NA,SES quintile,imd 2,0.60,0.58,0.63
NA,SES quintile,imd 3,0.74,0.71,0.76
NA,SES quintile,imd 4,0.86,0.82,0.89
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.83,0.78,0.88
NA,BMI,25.0-29.9,1.03,1.00,1.06
NA,BMI,30.0-39.9,1.05,1.02,1.08
NA,BMI,40.0+,1.00,0.94,1.07
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,0.82,0.80,0.84
NA,No. QCovid comorbidities,rsk 2,0.94,0.88,1.00
NA,No. QCovid comorbidities,rsk 3,1.16,0.98,1.36
NA,No. QCovid comorbidities,rsk 4+,1.12,0.81,1.55
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.14,1.10,1.17
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.78,0.76,0.80
NA,Number of household members,hh 3,0.87,0.84,0.91
NA,Number of household members,hh 4,0.83,0.79,0.88
NA,Number of household members,hh 5,0.77,0.72,0.83
NA,Number of household members,hh 6-10,0.70,0.65,0.76
NA,Number of household members,hh 7+,0.75,0.62,0.92
