"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-24","18-24","1on5","c19","adj",0.989464822519536,2.68979456960114,1.44637903345917,5.00214304776841,0.316537248916336,3.12590327333344,0.00177259844737162
"age_cat","25-29","25-29","1on5","c19","adj",0.712776756949386,2.03964700669404,1.12496227882571,3.69804391686674,0.303590911099054,2.34781981571519,0.0188836538856473
"age_cat","30-34","30-34","1on5","c19","adj",0.716507207789695,2.04727001938082,1.13351943558136,3.6976115280334,0.301627925366779,2.37546708222862,0.0175267556401568
"age_cat","35-39","35-39","1on5","c19","adj",0.656281822330754,1.9276117902915,1.04248029208317,3.56427573958816,0.313617524170707,2.09261846596789,0.0363832268126523
"ethn_cat","Asian","a","1on5","c19","adj",0.486585261302924,1.62675179253303,1.01746200444554,2.60090439048042,0.239429892301787,2.03226613279186,0.0421267210785433
"ethn_cat","Black","b","1on5","c19","adj",0.282185642319688,1.32602486347038,0.465284236944886,3.77907050986109,0.534342696331658,0.528098623330935,0.597430886293418
"ethn_cat","Mixed","m","1on5","c19","adj",-0.116172988840018,0.890321194344559,0.420393432880219,1.88554760160817,0.382859725128903,-0.303434864560132,0.761558479242282
"ethn_cat","Other","o","1on5","c19","adj",0.745835960405289,2.10820307284359,0.982781006756968,4.52239122021031,0.38939742290742,1.91535926159073,0.0554467027472958
"ethn_cat","(Missing)","missing","1on5","c19","adj",0.909907777534627,2.48409343360024,0.395794774434311,15.5907065616905,0.937143355931303,0.970937660471796,0.331579322843706
"bmi_cat","<18.5","<18.5","1on5","c19","adj",0.181164354514005,1.19861216042449,0.708231402863533,2.02853347833589,0.268448174124887,0.674857838406171,0.49976608942348
"bmi_cat","25-29.9","25-29.9","1on5","c19","adj",0.167805637803218,1.18270671483176,0.954128575980414,1.46604473288184,0.109574706704664,1.53142675759565,0.125663955229532
"bmi_cat","30-39.9","30-39.9","1on5","c19","adj",0.364774838442147,1.44018969628369,1.14171701819105,1.81669041297816,0.118492765517878,3.07845662009729,0.00208075821029302
"bmi_cat","40+","40+","1on5","c19","adj",0.788541105028561,2.20018424597614,1.33838504893359,3.61690435805353,0.253615581292276,3.10919818494833,0.00187595838087908
"urban_rural_class","Rural","r","1on5","c19","adj",-0.105103040598926,0.900231757387603,0.704961517778415,1.14959071746652,0.124751793247665,-0.842497232807465,0.399509687972582
"hh_cat","Alone","1","1on5","c19","adj",0.269997572500321,1.30996127079882,0.890218310188244,1.92761540776442,0.197088379958079,1.36993146200578,0.170708297426947
"hh_cat","3 members","3","1on5","c19","adj",0.0194866805847929,1.01967778525841,0.798220209022831,1.3025763742844,0.124929565522435,0.155981336389852,0.876047732548411
"hh_cat","4 members","4","1on5","c19","adj",0.111724182461537,1.11820439772278,0.851786806700574,1.4679507421933,0.138851119178831,0.804632927140068,0.421031535243408
"hh_cat","5 members","5","1on5","c19","adj",-0.0849978041759208,0.918514301295063,0.656625104511968,1.2848557203895,0.171250206133501,-0.496336945192693,0.619656704295115
"hh_cat","6-10 members","6-10","1on5","c19","adj",-0.040107346273409,0.960686307521997,0.67494321956976,1.36740121939229,0.180115230338361,-0.222676040210837,0.823787650326628
"hh_cat","11+ members","11+","1on5","c19","adj",0.575134003136823,1.77736868393573,0.391775642940352,8.06338907372141,0.77154476181356,0.745431803314869,0.456010723782912
"num_clinical_conditions_cat","1 condition","1","1on5","c19","adj",0.158976790406921,1.17231073750978,0.949112083922795,1.44799806952255,0.107759720086192,1.47528956348218,0.14013471107334
"num_clinical_conditions_cat","2 conditions","2","1on5","c19","adj",-0.0845540763745561,0.918921962065018,0.250996846144858,3.36425570812983,0.662135038679915,-0.127699142070974,0.898387069062873
"health_board","Betsi Cadwaladr University Health Board","bc","1on5","c19","adj",-0.0878426364689585,0.915904995427693,0.668573066279761,1.25473490177718,0.160598335264778,-0.546971027589623,0.584398636826555
"health_board","Cardiff and Vale University Health Board","cv","1on5","c19","adj",-0.0718657775522273,0.930655802328211,0.702728375017799,1.23251067296838,0.143328686789416,-0.501405400147251,0.616085840062826
"health_board","Cwm Taf Morgannwg University Health Board","ct","1on5","c19","adj",-0.129092743707157,0.878892450021609,0.64932093159173,1.18963042945715,0.154459694924152,-0.835769770039672,0.403284436035237
"health_board","Hywel Dda University Health Board","hd","1on5","c19","adj",0.0887676715904044,1.09282673213393,0.675259866070378,1.76860839281992,0.245629690552936,0.361388199409362,0.71780926829345
