"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-24","18-24","1on5","c19","adj",0.273462375428035,1.31450790048453,1.00592930187083,1.71774598594816,0.136507907696646,2.00327131257287,0.045148174919267
"age_cat","30-34","30-34","1on5","c19","adj",0.173745345492716,1.18975255139024,0.975092612587889,1.45166840079203,0.1015162382002,1.71150299275346,0.0869882991891876
"age_cat","35-39","35-39","1on5","c19","adj",0.189992503954386,1.20924053310108,0.944255611421332,1.5485877438351,0.126201746860781,1.50546651437381,0.13220417963326
"age_cat","40-49","40-49","1on5","c19","adj",-0.18220957697395,0.833426655074982,0.493118715230948,1.40858573794784,0.26775785647471,-0.680501328225862,0.496187081099919
"ethn_cat","Asian","a","1on5","c19","adj",0.602687979746214,1.82702320734147,1.22288265518241,2.72962723448425,0.20483900681313,2.94225201109294,0.00325834643454638
"ethn_cat","Black","b","1on5","c19","adj",0.166345288388453,1.18098081029149,0.453141343387713,3.07788219863091,0.488731671501042,0.340361179944726,0.733584549291252
"ethn_cat","Mixed","m","1on5","c19","adj",-0.0466863314219285,0.954386711768001,0.484905570907935,1.87841520132231,0.345473069953816,-0.135137397042756,0.892503242798006
"ethn_cat","Other","o","1on5","c19","adj",0.537505794818572,1.71173212223322,0.859023747260951,3.41087992925411,0.351774069522312,1.52798583348816,0.126516055308321
"ethn_cat","(Missing)","missing","1on5","c19","adj",0.410189582958799,1.50710347916743,0.255981404144374,8.87314804960413,0.904526855669168,0.453485245228392,0.650199365560193
"bmi_cat","<18.5","<18.5","1on5","c19","adj",0.0537333089384314,1.05520315137793,0.651655753110173,1.70865320433943,0.245908677535249,0.218509202184332,0.827032389237475
"bmi_cat","25-29.9","25-29.9","1on5","c19","adj",0.1590040235651,1.17234266366825,0.969488797457764,1.41764126069405,0.0969356500418852,1.64030491874141,0.10094178342582
"bmi_cat","30-39.9","30-39.9","1on5","c19","adj",0.300016844094104,1.34988154491628,1.09933210705036,1.65753385498282,0.104753977993306,2.86401385266033,0.00418309717304859
"bmi_cat","40+","40+","1on5","c19","adj",0.603283002782483,1.82811065173279,1.14593622574878,2.91638267460753,0.23830082550313,2.53160265604938,0.01135425758544
"urban_rural_class","Rural","r","1on5","c19","adj",-0.105869749026836,0.899541806641467,0.722272603846831,1.12031864089281,0.111983126424551,-0.945408048579227,0.344450594728446
"hh_cat","Alone","1","1on5","c19","adj",0.208429810587972,1.23174247174689,0.876744848433425,1.73048010423563,0.173456797676828,1.20162376672203,0.229509329006768
"hh_cat","3 members","3","1on5","c19","adj",-0.0465595239148551,0.954507742841367,0.769373486755117,1.18419083426787,0.110011830156492,-0.423222882926536,0.672132652855962
