"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"wimd2019_quintile","1st (Most deprived)","1","0","c19","adj",-0.651,0.521,0.476,0.571,0.0461,-14.12,0
"wimd2019_quintile","2nd","2","0","c19","adj",-0.417,0.659,0.601,0.723,0.0468,-8.9,0
"wimd2019_quintile","3rd","3","0","c19","adj",-0.245,0.782,0.712,0.86,0.048,-5.11,0
"wimd2019_quintile","4th","4","0","c19","adj",-0.126,0.882,0.801,0.97,0.0488,-2.58,0.01
"age_cat","18-24","18-24","0","c19","adj",-0.391,0.676,0.559,0.818,0.097,-4.03,1e-04
"age_cat","25-29","25-29","0","c19","adj",-0.19,0.827,0.687,0.996,0.0945,-2.01,0.0448
"age_cat","30-34","30-34","0","c19","adj",0.063,1.065,0.885,1.281,0.0943,0.67,0.5056
"age_cat","35-39","35-39","0","c19","adj",0.13,1.139,0.94,1.382,0.0984,1.33,0.1848
"ethn_cat","Asian","a","0","c19","adj",0.114,1.12,0.956,1.313,0.0811,1.4,0.1613
"ethn_cat","Black","b","0","c19","adj",-0.535,0.586,0.422,0.813,0.1675,-3.2,0.0014
"ethn_cat","Mixed","m","0","c19","adj",-0.435,0.647,0.495,0.846,0.1367,-3.18,0.0015
"ethn_cat","Other","o","0","c19","adj",-0.084,0.919,0.711,1.188,0.1309,-0.64,0.52
"ethn_cat","(Missing)","missing","0","c19","adj",-0.67,0.512,0.306,0.856,0.262,-2.56,0.0106
"bmi_cat","<18.5","<18.5","0","c19","adj",-0.335,0.716,0.605,0.846,0.0854,-3.92,1e-04
"bmi_cat","25-29.9","25-29.9","0","c19","adj",0.034,1.035,0.967,1.107,0.0344,0.99,0.3226
"bmi_cat","30-39.9","30-39.9","0","c19","adj",0.081,1.085,1.01,1.165,0.0365,2.23,0.0255
"bmi_cat","40+","40+","0","c19","adj",-0.158,0.854,0.742,0.983,0.0719,-2.19,0.0282
"urban_rural_class","Rural","r","0","c19","adj",0.063,1.065,0.993,1.142,0.0357,1.77,0.0773
"hh_cat","Alone","1","0","c19","adj",-0.057,0.944,0.84,1.061,0.0596,-0.96,0.3365
"hh_cat","3 members","3","0","c19","adj",-0.088,0.916,0.848,0.989,0.0391,-2.25,0.0245
"hh_cat","4 members","4","0","c19","adj",-0.184,0.832,0.763,0.906,0.0438,-4.21,0
"hh_cat","5 members","5","0","c19","adj",-0.205,0.815,0.735,0.904,0.053,-3.86,1e-04
"hh_cat","6-10 members","6-10","0","c19","adj",-0.293,0.746,0.671,0.829,0.054,-5.43,0
"hh_cat","11+ members","11+","0","c19","adj",-0.513,0.598,0.406,0.882,0.198,-2.59,0.0095
"num_clinical_conditions_cat","1 condition","1","0","c19","adj",-0.377,0.686,0.642,0.733,0.0338,-11.15,0
"num_clinical_conditions_cat","2 conditions","2","0","c19","adj",0.023,1.023,0.692,1.513,0.1996,0.11,0.9085
"health_board","Betsi Cadwaladr University Health Board","bc","0","c19","adj",-0.193,0.825,0.753,0.904,0.0468,-4.12,0
"health_board","Cardiff and Vale University Health Board","cv","0","c19","adj",0.12,1.127,1.026,1.238,0.0479,2.5,0.0124
"health_board","Cwm Taf Morgannwg University Health Board","ct","0","c19","adj",-0.119,0.888,0.811,0.973,0.0465,-2.55,0.0108
"health_board","Hywel Dda University Health Board","hd","0","c19","adj",-0.177,0.838,0.751,0.934,0.0555,-3.19,0.0014
"health_board","Powys Teaching Health Board","pt","0","c19","adj",-0.075,0.928,0.754,1.141,0.1055,-0.71,0.476
"health_board","Swansea Bay University Health Board","sb","0","c19","adj",-0.241,0.786,0.712,0.868,0.0504,-4.78,0
"wimd2019_quintile","1st (Most deprived)","1","0","flu","adj",-0.357,0.7,0.64,0.764,0.0452,-7.91,0
"wimd2019_quintile","2nd","2","0","flu","adj",-0.22,0.803,0.733,0.879,0.0462,-4.75,0
"wimd2019_quintile","3rd","3","0","flu","adj",-0.085,0.919,0.837,1.009,0.0476,-1.78,0.0759
"wimd2019_quintile","4th","4","0","flu","adj",-0.025,0.975,0.887,1.073,0.0485,-0.52,0.6058
"age_cat","18-24","18-24","0","flu","adj",-0.096,0.909,0.753,1.096,0.0957,-1,0.3183
"age_cat","25-29","25-29","0","flu","adj",-0.046,0.955,0.795,1.147,0.0937,-0.49,0.6232
"age_cat","30-34","30-34","0","flu","adj",0.03,1.03,0.858,1.238,0.0936,0.32,0.7509
"age_cat","35-39","35-39","0","flu","adj",0.04,1.041,0.86,1.26,0.0976,0.41,0.6821
"ethn_cat","Asian","a","0","flu","adj",0.088,1.092,0.933,1.279,0.0805,1.09,0.2747
"ethn_cat","Black","b","0","flu","adj",-0.206,0.814,0.598,1.107,0.157,-1.31,0.1887
"ethn_cat","Mixed","m","0","flu","adj",-0.376,0.687,0.53,0.89,0.1322,-2.85,0.0044
"ethn_cat","Other","o","0","flu","adj",-0.059,0.943,0.731,1.216,0.1296,-0.45,0.6496
"ethn_cat","(Missing)","missing","0","flu","adj",-0.548,0.578,0.354,0.942,0.2494,-2.2,0.0279
"bmi_cat","<18.5","<18.5","0","flu","adj",-0.422,0.656,0.557,0.772,0.0834,-5.06,0
"bmi_cat","25-29.9","25-29.9","0","flu","adj",0.061,1.063,0.995,1.135,0.0337,1.81,0.0708
"bmi_cat","30-39.9","30-39.9","0","flu","adj",0.082,1.086,1.012,1.164,0.0357,2.3,0.0214
"bmi_cat","40+","40+","0","flu","adj",0.324,1.382,1.21,1.579,0.068,4.76,0
"urban_rural_class","Rural","r","0","flu","adj",0.097,1.102,1.029,1.18,0.0349,2.78,0.0054
"hh_cat","Alone","1","0","flu","adj",-0.026,0.974,0.869,1.092,0.0583,-0.45,0.6553
"hh_cat","3 members","3","0","flu","adj",-0.132,0.876,0.813,0.944,0.0383,-3.46,5e-04
"hh_cat","4 members","4","0","flu","adj",-0.247,0.781,0.718,0.849,0.0427,-5.8,0
"hh_cat","5 members","5","0","flu","adj",-0.284,0.753,0.68,0.833,0.0515,-5.51,0
"hh_cat","6-10 members","6-10","0","flu","adj",-0.469,0.626,0.564,0.694,0.0528,-8.87,0
"hh_cat","11+ members","11+","0","flu","adj",-0.748,0.473,0.322,0.697,0.1972,-3.79,1e-04
"num_clinical_conditions_cat","1 condition","1","0","flu","adj",0.314,1.369,1.286,1.458,0.032,9.82,0
"num_clinical_conditions_cat","2 conditions","2","0","flu","adj",0.472,1.604,1.094,2.352,0.1953,2.42,0.0156
"health_board","Betsi Cadwaladr University Health Board","bc","0","flu","adj",-0.093,0.912,0.834,0.997,0.0456,-2.03,0.0425
