"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"wimd2019_quintile","1st (Most deprived)","1","0","c19","adj",-0.654,0.52,0.475,0.569,0.046,-14.22,0
"wimd2019_quintile","2nd","2","0","c19","adj",-0.419,0.658,0.6,0.721,0.0467,-8.97,0
"wimd2019_quintile","3rd","3","0","c19","adj",-0.241,0.786,0.715,0.863,0.0479,-5.03,0
"wimd2019_quintile","4th","4","0","c19","adj",-0.126,0.882,0.802,0.97,0.0487,-2.58,0.0098
"age_cat","18-24","18-24","0","c19","adj",-0.205,0.815,0.752,0.883,0.0412,-4.98,0
"age_cat","30-34","30-34","0","c19","adj",0.252,1.286,1.201,1.378,0.0351,7.17,0
"age_cat","35-39","35-39","0","c19","adj",0.316,1.371,1.255,1.498,0.0451,7,0
"age_cat","40-49","40-49","0","c19","adj",0.185,1.203,1,1.447,0.0943,1.96,0.05
"ethn_cat","Asian","a","0","c19","adj",0.105,1.111,0.948,1.301,0.0807,1.3,0.1937
"ethn_cat","Black","b","0","c19","adj",-0.537,0.585,0.421,0.812,0.1674,-3.21,0.0013
"ethn_cat","Mixed","m","0","c19","adj",-0.432,0.65,0.497,0.849,0.1366,-3.16,0.0016
"ethn_cat","Other","o","0","c19","adj",-0.107,0.898,0.696,1.159,0.13,-0.83,0.409
"ethn_cat","(Missing)","missing","0","c19","adj",-0.669,0.512,0.307,0.855,0.2615,-2.56,0.0105
"bmi_cat","<18.5","<18.5","0","c19","adj",-0.337,0.714,0.604,0.844,0.0853,-3.95,1e-04
"bmi_cat","25-29.9","25-29.9","0","c19","adj",0.032,1.032,0.965,1.104,0.0344,0.92,0.3584
"bmi_cat","30-39.9","30-39.9","0","c19","adj",0.078,1.081,1.007,1.161,0.0364,2.14,0.0325
"bmi_cat","40+","40+","0","c19","adj",-0.16,0.852,0.74,0.98,0.0717,-2.23,0.0254
"urban_rural_class","Rural","r","0","c19","adj",0.063,1.065,0.993,1.142,0.0356,1.77,0.0761
"hh_cat","Alone","1","0","c19","adj",-0.067,0.935,0.833,1.051,0.0594,-1.12,0.2614
"hh_cat","3 members","3","0","c19","adj",-0.087,0.917,0.849,0.99,0.039,-2.23,0.0259
"hh_cat","4 members","4","0","c19","adj",-0.184,0.832,0.763,0.906,0.0437,-4.22,0
"hh_cat","5 members","5","0","c19","adj",-0.206,0.814,0.734,0.903,0.0528,-3.9,1e-04
"hh_cat","6-10 members","6-10","0","c19","adj",-0.293,0.746,0.672,0.83,0.0539,-5.43,0
"hh_cat","11+ members","11+","0","c19","adj",-0.53,0.589,0.4,0.866,0.1971,-2.69,0.0072
"num_clinical_conditions_cat","1 condition","1","0","c19","adj",-0.375,0.688,0.644,0.735,0.0337,-11.11,0
"num_clinical_conditions_cat","2 conditions","2","0","c19","adj",0.018,1.018,0.689,1.503,0.199,0.09,0.9296
"health_board","Betsi Cadwaladr University Health Board","bc","0","c19","adj",-0.195,0.823,0.751,0.902,0.0467,-4.17,0
"health_board","Cardiff and Vale University Health Board","cv","0","c19","adj",0.12,1.127,1.026,1.238,0.0478,2.5,0.0124
"health_board","Cwm Taf Morgannwg University Health Board","ct","0","c19","adj",-0.12,0.887,0.81,0.972,0.0464,-2.57,0.01
"health_board","Hywel Dda University Health Board","hd","0","c19","adj",-0.181,0.834,0.748,0.93,0.0554,-3.27,0.0011
"health_board","Powys Teaching Health Board","pt","0","c19","adj",-0.078,0.925,0.753,1.137,0.1053,-0.74,0.46
"health_board","Swansea Bay University Health Board","sb","0","c19","adj",-0.257,0.773,0.701,0.853,0.0502,-5.12,0
"wimd2019_quintile","1st (Most deprived)","1","0","flu","adj",-0.36,0.698,0.639,0.762,0.045,-7.99,0
"wimd2019_quintile","2nd","2","0","flu","adj",-0.222,0.801,0.732,0.876,0.0461,-4.82,0
"wimd2019_quintile","3rd","3","0","flu","adj",-0.081,0.922,0.84,1.012,0.0475,-1.71,0.0878
"wimd2019_quintile","4th","4","0","flu","adj",-0.023,0.977,0.889,1.074,0.0484,-0.48,0.629
"age_cat","18-24","18-24","0","flu","adj",-0.052,0.949,0.879,1.025,0.0392,-1.33,0.1844
"age_cat","30-34","30-34","0","flu","adj",0.075,1.077,1.007,1.153,0.0345,2.16,0.0306
"age_cat","35-39","35-39","0","flu","adj",0.084,1.088,0.997,1.187,0.0446,1.88,0.0597
"age_cat","40-49","40-49","0","flu","adj",0.043,1.044,0.87,1.254,0.0934,0.47,0.6414
"ethn_cat","Asian","a","0","flu","adj",0.078,1.081,0.924,1.266,0.0802,0.98,0.3288
"ethn_cat","Black","b","0","flu","adj",-0.205,0.815,0.599,1.107,0.1568,-1.31,0.1906
"ethn_cat","Mixed","m","0","flu","adj",-0.37,0.691,0.533,0.894,0.132,-2.8,0.005
"ethn_cat","Other","o","0","flu","adj",-0.082,0.921,0.716,1.186,0.1288,-0.64,0.5252
"ethn_cat","(Missing)","missing","0","flu","adj",-0.549,0.577,0.355,0.94,0.2488,-2.21,0.0273
"bmi_cat","<18.5","<18.5","0","flu","adj",-0.422,0.655,0.557,0.772,0.0833,-5.07,0
"bmi_cat","25-29.9","25-29.9","0","flu","adj",0.058,1.06,0.992,1.132,0.0336,1.72,0.0851
"bmi_cat","30-39.9","30-39.9","0","flu","adj",0.078,1.081,1.009,1.16,0.0356,2.2,0.0278
"bmi_cat","40+","40+","0","flu","adj",0.319,1.375,1.204,1.571,0.0678,4.7,0
"urban_rural_class","Rural","r","0","flu","adj",0.098,1.103,1.03,1.18,0.0348,2.81,0.0049
"hh_cat","Alone","1","0","flu","adj",-0.036,0.965,0.861,1.081,0.0581,-0.61,0.5405
"hh_cat","3 members","3","0","flu","adj",-0.129,0.879,0.816,0.947,0.0382,-3.38,7e-04
"hh_cat","4 members","4","0","flu","adj",-0.245,0.783,0.72,0.851,0.0426,-5.75,0
"hh_cat","5 members","5","0","flu","adj",-0.287,0.75,0.678,0.83,0.0514,-5.6,0
"hh_cat","6-10 members","6-10","0","flu","adj",-0.466,0.627,0.566,0.695,0.0527,-8.85,0
"hh_cat","11+ members","11+","0","flu","adj",-0.759,0.468,0.319,0.688,0.1963,-3.87,1e-04
"num_clinical_conditions_cat","1 condition","1","0","flu","adj",0.313,1.368,1.285,1.456,0.0319,9.8,0
