"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-24","18-24","1","c19","adj",-0.113,0.893,0.772,1.034,0.0748,-1.51,0.1318
"age_cat","30-34","30-34","1","c19","adj",0.178,1.195,1.032,1.383,0.0745,2.39,0.017
"age_cat","35-39","35-39","1","c19","adj",0.306,1.358,1.117,1.65,0.0995,3.08,0.0021
"age_cat","40-49","40-49","1","c19","adj",-0.222,0.801,0.524,1.223,0.216,-1.03,0.3034
"ethn_cat","Asian","a","1","c19","adj",0.448,1.565,1.221,2.004,0.1264,3.54,4e-04
"ethn_cat","Black","b","1","c19","adj",-0.42,0.657,0.409,1.055,0.2417,-1.74,0.0819
"ethn_cat","Mixed","m","1","c19","adj",-0.352,0.703,0.44,1.124,0.2393,-1.47,0.1408
"ethn_cat","Other","o","1","c19","adj",-0.001,0.999,0.673,1.482,0.2015,-0.01,0.9951
"ethn_cat","(Missing)","missing","1","c19","adj",-0.702,0.496,0.187,1.313,0.497,-1.41,0.1578
"bmi_cat","<18.5","<18.5","1","c19","adj",-0.266,0.766,0.549,1.071,0.1705,-1.56,0.1188
"bmi_cat","25-29.9","25-29.9","1","c19","adj",0.168,1.183,1.026,1.363,0.0724,2.32,0.0205
"bmi_cat","30-39.9","30-39.9","1","c19","adj",0.328,1.388,1.2,1.605,0.0741,4.42,0
"bmi_cat","40+","40+","1","c19","adj",0.211,1.235,0.965,1.581,0.126,1.68,0.0938
"urban_rural_class","Rural","r","1","c19","adj",-0.084,0.919,0.77,1.098,0.0905,-0.93,0.3515
"hh_cat","Alone","1","1","c19","adj",0.16,1.174,0.907,1.52,0.1317,1.22,0.2234
"hh_cat","3 members","3","1","c19","adj",-0.046,0.955,0.81,1.127,0.0845,-0.54,0.5889
"hh_cat","4 members","4","1","c19","adj",-0.125,0.883,0.741,1.052,0.0895,-1.39,0.1638
"hh_cat","5 members","5","1","c19","adj",-0.254,0.775,0.634,0.948,0.1027,-2.48,0.0133
"hh_cat","6-10 members","6-10","1","c19","adj",-0.238,0.788,0.646,0.962,0.1017,-2.34,0.0193
"hh_cat","11+ members","11+","1","c19","adj",-0.481,0.618,0.339,1.128,0.3068,-1.57,0.1173
"num_clinical_conditions_cat","1 condition","1","1","c19","adj",-0.341,0.711,0.62,0.814,0.0694,-4.92,0
"num_clinical_conditions_cat","2 conditions","2","1","c19","adj",0.199,1.22,0.598,2.488,0.3638,0.55,0.5849
"health_board","Betsi Cadwaladr University Health Board","bc","1","c19","adj",-0.332,0.717,0.585,0.879,0.104,-3.2,0.0014
"health_board","Cardiff and Vale University Health Board","cv","1","c19","adj",-0.008,0.992,0.837,1.177,0.0871,-0.09,0.931
"health_board","Cwm Taf Morgannwg University Health Board","ct","1","c19","adj",-0.134,0.875,0.741,1.033,0.0845,-1.58,0.114
"health_board","Hywel Dda University Health Board","hd","1","c19","adj",-0.006,0.994,0.773,1.279,0.1284,-0.05,0.9634
"health_board","Powys Teaching Health Board","pt","1","c19","adj",-0.539,0.584,0.295,1.155,0.3482,-1.55,0.1219
"health_board","Swansea Bay University Health Board","sb","1","c19","adj",-0.279,0.756,0.636,0.9,0.0886,-3.15,0.0016
"age_cat","18-24","18-24","1","flu","adj",0.061,1.063,0.927,1.218,0.0697,0.88,0.3811
"age_cat","30-34","30-34","1","flu","adj",-0.013,0.987,0.857,1.137,0.072,-0.18,0.86
"age_cat","35-39","35-39","1","flu","adj",0.162,1.176,0.973,1.422,0.0968,1.68,0.0935
"age_cat","40-49","40-49","1","flu","adj",-0.315,0.73,0.485,1.098,0.2088,-1.51,0.131
"ethn_cat","Asian","a","1","flu","adj",0.2,1.222,0.954,1.565,0.1264,1.58,0.1132
"ethn_cat","Black","b","1","flu","adj",-0.187,0.829,0.536,1.283,0.2227,-0.84,0.4002
"ethn_cat","Mixed","m","1","flu","adj",-0.194,0.824,0.534,1.27,0.2208,-0.88,0.3803
"ethn_cat","Other","o","1","flu","adj",-0.127,0.881,0.594,1.306,0.201,-0.63,0.5284
"ethn_cat","(Missing)","missing","1","flu","adj",-0.657,0.518,0.209,1.285,0.4633,-1.42,0.1559
"bmi_cat","<18.5","<18.5","1","flu","adj",-0.267,0.766,0.562,1.043,0.1576,-1.69,0.0904
"bmi_cat","25-29.9","25-29.9","1","flu","adj",0.169,1.185,1.036,1.355,0.0686,2.47,0.0135
"bmi_cat","30-39.9","30-39.9","1","flu","adj",0.241,1.273,1.108,1.462,0.0706,3.41,6e-04
"bmi_cat","40+","40+","1","flu","adj",0.465,1.592,1.263,2.007,0.1182,3.93,1e-04
"urban_rural_class","Rural","r","1","flu","adj",-0.047,0.954,0.807,1.128,0.0856,-0.55,0.5837
"hh_cat","Alone","1","1","flu","adj",-0.02,0.98,0.765,1.256,0.1265,-0.16,0.8717
"hh_cat","3 members","3","1","flu","adj",-0.235,0.79,0.676,0.924,0.0799,-2.95,0.0032
"hh_cat","4 members","4","1","flu","adj",-0.37,0.691,0.585,0.816,0.0849,-4.35,0
"hh_cat","5 members","5","1","flu","adj",-0.434,0.648,0.536,0.783,0.0966,-4.5,0
"hh_cat","6-10 members","6-10","1","flu","adj",-0.522,0.593,0.491,0.717,0.0967,-5.4,0
"hh_cat","11+ members","11+","1","flu","adj",-0.675,0.509,0.287,0.903,0.2924,-2.31,0.0209
"num_clinical_conditions_cat","1 condition","1","1","flu","adj",0.368,1.445,1.279,1.634,0.0626,5.89,0
"num_clinical_conditions_cat","2 conditions","2","1","flu","adj",0.256,1.291,0.639,2.609,0.3588,0.71,0.4759
"health_board","Betsi Cadwaladr University Health Board","bc","1","flu","adj",0.038,1.039,0.861,1.253,0.0955,0.4,0.6917
"health_board","Cardiff and Vale University Health Board","cv","1","flu","adj",0.052,1.053,0.893,1.241,0.0839,0.62,0.5382
"health_board","Cwm Taf Morgannwg University Health Board","ct","1","flu","adj",-0.159,0.853,0.727,1,0.0813,-1.96,0.0505
"health_board","Hywel Dda University Health Board","hd","1","flu","adj",-0.287,0.751,0.585,0.963,0.1272,-2.25,0.0243
"health_board","Powys Teaching Health Board","pt","1","flu","adj",0.772,2.164,1.215,3.854,0.2946,2.62,0.0088
"health_board","Swansea Bay University Health Board","sb","1","flu","adj",-0.141,0.868,0.737,1.023,0.0836,-1.69,0.091
"age_cat","18-24","18-24","1","c19","unadj",-0.184,0.832,0.721,0.96,0.0732,-2.51,0.0119
"age_cat","30-34","30-34","1","c19","unadj",0.185,1.203,1.041,1.389,0.0735,2.51,0.012
"age_cat","35-39","35-39","1","c19","unadj",0.294,1.342,1.109,1.626,0.0976,3.02,0.0026
"age_cat","40-49","40-49","1","c19","unadj",-0.156,0.855,0.563,1.299,0.2131,-0.73,0.4634
"ethn_cat","Asian","a","1","c19","unadj",0.458,1.581,1.254,1.994,0.1184,3.87,1e-04
"ethn_cat","Black","b","1","c19","unadj",-0.302,0.739,0.465,1.176,0.2368,-1.28,0.2022
"ethn_cat","Mixed","m","1","c19","unadj",-0.22,0.803,0.507,1.271,0.2345,-0.94,0.3486
