"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-24","18-24","5","c19","adj",-0.3,0.741,0.589,0.932,0.117,-2.56,0.0104
"age_cat","30-34","30-34","5","c19","adj",0.031,1.031,0.891,1.193,0.0743,0.41,0.6798
"age_cat","35-39","35-39","5","c19","adj",0.105,1.111,0.936,1.317,0.0871,1.2,0.2291
"age_cat","40-49","40-49","5","c19","adj",0.068,1.07,0.764,1.499,0.1718,0.39,0.6932
"ethn_cat","Asian","a","5","c19","adj",-0.149,0.861,0.618,1.2,0.1691,-0.88,0.3771
"ethn_cat","Black","b","5","c19","adj",-0.656,0.519,0.222,1.216,0.4344,-1.51,0.1312
"ethn_cat","Mixed","m","5","c19","adj",-0.187,0.83,0.492,1.398,0.2661,-0.7,0.483
"ethn_cat","Other","o","5","c19","adj",-0.661,0.516,0.287,0.927,0.299,-2.21,0.0269
"ethn_cat","(Missing)","missing","5","c19","adj",-1.076,0.341,0.076,1.535,0.7676,-1.4,0.161
"bmi_cat","<18.5","<18.5","5","c19","adj",-0.31,0.734,0.51,1.056,0.1859,-1.67,0.0956
"bmi_cat","25-29.9","25-29.9","5","c19","adj",0.021,1.021,0.891,1.17,0.0694,0.3,0.7678
"bmi_cat","30-39.9","30-39.9","5","c19","adj",-0.005,0.995,0.852,1.161,0.079,-0.07,0.9472
"bmi_cat","40+","40+","5","c19","adj",-0.156,0.855,0.572,1.279,0.2053,-0.76,0.447
"urban_rural_class","Rural","r","5","c19","adj",0.009,1.009,0.874,1.165,0.0734,0.12,0.9049
"hh_cat","Alone","1","5","c19","adj",-0.108,0.898,0.703,1.146,0.1245,-0.87,0.3867
"hh_cat","3 members","3","5","c19","adj",0.033,1.034,0.889,1.202,0.0771,0.43,0.6682
"hh_cat","4 members","4","5","c19","adj",-0.066,0.936,0.784,1.119,0.0908,-0.73,0.4677
"hh_cat","5 members","5","5","c19","adj",-0.024,0.976,0.774,1.231,0.1184,-0.2,0.8382
"hh_cat","6-10 members","6-10","5","c19","adj",-0.092,0.912,0.709,1.175,0.1289,-0.71,0.4768
"hh_cat","11+ members","11+","5","c19","adj",-1.074,0.342,0.098,1.186,0.6354,-1.69,0.0909
"num_clinical_conditions_cat","1 condition","1","5","c19","adj",0.042,1.043,0.898,1.211,0.0763,0.55,0.584
"num_clinical_conditions_cat","2 conditions","2","5","c19","adj",0.361,1.434,0.571,3.603,0.47,0.77,0.4429
"health_board","Betsi Cadwaladr University Health Board","bc","5","c19","adj",-0.228,0.796,0.647,0.979,0.1056,-2.16,0.031
