"","vacc_seq","vacc_date","n","vacc_type"
"1","FirstVaccinationDoseDate",2020-12-13,20,"COVID-19 vaccines"
"2","FirstVaccinationDoseDate",2020-12-20,20,"COVID-19 vaccines"
"3","FirstVaccinationDoseDate",2020-12-27,40,"COVID-19 vaccines"
"4","FirstVaccinationDoseDate",2021-01-03,120,"COVID-19 vaccines"
"5","FirstVaccinationDoseDate",2021-01-10,230,"COVID-19 vaccines"
"6","FirstVaccinationDoseDate",2021-01-17,270,"COVID-19 vaccines"
"7","FirstVaccinationDoseDate",2021-01-24,240,"COVID-19 vaccines"
"8","FirstVaccinationDoseDate",2021-01-31,200,"COVID-19 vaccines"
"9","FirstVaccinationDoseDate",2021-02-07,240,"COVID-19 vaccines"
"10","FirstVaccinationDoseDate",2021-02-14,280,"COVID-19 vaccines"
"11","FirstVaccinationDoseDate",2021-02-21,500,"COVID-19 vaccines"
"12","FirstVaccinationDoseDate",2021-02-28,490,"COVID-19 vaccines"
"13","FirstVaccinationDoseDate",2021-03-07,370,"COVID-19 vaccines"
"14","FirstVaccinationDoseDate",2021-03-14,450,"COVID-19 vaccines"
"15","FirstVaccinationDoseDate",2021-03-21,450,"COVID-19 vaccines"
"16","FirstVaccinationDoseDate",2021-03-28,260,"COVID-19 vaccines"
"17","FirstVaccinationDoseDate",2021-04-04,100,"COVID-19 vaccines"
"18","FirstVaccinationDoseDate",2021-04-11,130,"COVID-19 vaccines"
"19","FirstVaccinationDoseDate",2021-04-18,180,"COVID-19 vaccines"
"20","FirstVaccinationDoseDate",2021-04-25,270,"COVID-19 vaccines"
"21","FirstVaccinationDoseDate",2021-05-02,300,"COVID-19 vaccines"
"22","FirstVaccinationDoseDate",2021-05-09,940,"COVID-19 vaccines"
"23","FirstVaccinationDoseDate",2021-05-16,1290,"COVID-19 vaccines"
"24","FirstVaccinationDoseDate",2021-05-23,1430,"COVID-19 vaccines"
"25","FirstVaccinationDoseDate",2021-05-30,1290,"COVID-19 vaccines"
"26","FirstVaccinationDoseDate",2021-06-06,1460,"COVID-19 vaccines"
"27","FirstVaccinationDoseDate",2021-06-13,1270,"COVID-19 vaccines"
"28","FirstVaccinationDoseDate",2021-06-20,1000,"COVID-19 vaccines"
"29","FirstVaccinationDoseDate",2021-06-27,690,"COVID-19 vaccines"
"30","FirstVaccinationDoseDate",2021-07-04,620,"COVID-19 vaccines"
"31","FirstVaccinationDoseDate",2021-07-11,520,"COVID-19 vaccines"
"32","FirstVaccinationDoseDate",2021-07-18,450,"COVID-19 vaccines"
"33","FirstVaccinationDoseDate",2021-07-25,410,"COVID-19 vaccines"
"34","FirstVaccinationDoseDate",2021-08-01,520,"COVID-19 vaccines"
"35","FirstVaccinationDoseDate",2021-08-08,410,"COVID-19 vaccines"
"36","FirstVaccinationDoseDate",2021-08-15,330,"COVID-19 vaccines"
"37","FirstVaccinationDoseDate",2021-08-22,380,"COVID-19 vaccines"
"38","FirstVaccinationDoseDate",2021-08-29,280,"COVID-19 vaccines"
"39","FirstVaccinationDoseDate",2021-09-05,240,"COVID-19 vaccines"
"40","FirstVaccinationDoseDate",2021-09-12,210,"COVID-19 vaccines"
"41","FirstVaccinationDoseDate",2021-09-19,180,"COVID-19 vaccines"
"42","FirstVaccinationDoseDate",2021-09-26,150,"COVID-19 vaccines"
"43","FirstVaccinationDoseDate",2021-10-03,140,"COVID-19 vaccines"
"44","FirstVaccinationDoseDate",2021-10-10,200,"COVID-19 vaccines"
"45","FirstVaccinationDoseDate",2021-10-17,180,"COVID-19 vaccines"
"46","FirstVaccinationDoseDate",2021-10-24,140,"COVID-19 vaccines"
