Vaccination date,COVID-19 Dose,Pooled n (COVID-19),England n (COVID-19),Wales n (COVID-19),Influenza season,Pooled n (flu),England n (flu),Wales n (flu)
2020-12-21,1,10,0,10,2020,120,0,120
2021-01-04,1,30,0,30,2020,240,0,240
2021-01-11,1,50,0,50,2020,210,0,210
2021-01-18,1,60,0,60,2020,200,0,200
2021-01-25,1,40,0,40,2020,150,0,150
2021-02-01,1,30,0,30,2020,130,0,130
2021-02-08,1,30,0,30,2020,150,0,150
2021-02-15,1,10,0,10,2020,140,0,140
2021-02-22,1,10,0,10,2020,130,0,130
2021-03-01,1,30,0,30,2020,120,0,120
2021-03-08,1,60,0,60,2020,110,0,110
2021-03-15,1,50,0,50,2020,90,0,90
2021-03-22,1,50,0,50,2020,80,0,80
2021-03-29,1,30,0,30,2020,50,0,50
2021-04-05,1,30,0,30,2020,30,0,30
2021-04-12,1,80,0,80,2020,40,0,40
2021-04-19,1,130,0,130,2020,30,0,30
2021-04-26,1,220,0,220,2020,20,0,20
2021-05-03,1,280,0,280,2020,10,0,10
2021-05-10,1,380,0,380,2020,20,0,20
2021-05-17,1,350,0,350,2020,10,0,10
2021-05-24,1,220,0,220,2020,10,0,10
2021-05-31,1,180,0,180,NA,NA,NA,NA
2021-06-07,1,120,0,120,NA,NA,NA,NA
2021-06-14,1,100,0,100,NA,NA,NA,NA
2021-06-21,1,90,0,90,NA,NA,NA,NA
2021-06-28,1,80,0,80,NA,NA,NA,NA
2021-07-05,1,80,0,80,NA,NA,NA,NA
2021-07-12,1,80,0,80,NA,NA,NA,NA
2021-07-19,1,70,0,70,NA,NA,NA,NA
2021-07-26,1,80,0,80,NA,NA,NA,NA
2021-08-02,1,120,0,120,NA,NA,NA,NA
2021-08-09,1,60,0,60,NA,NA,NA,NA
2021-08-16,1,110,0,110,NA,NA,NA,NA
2021-08-23,1,100,0,100,NA,NA,NA,NA
2021-08-30,1,110,0,110,NA,NA,NA,NA
2021-09-06,1,80,0,80,2021,20,0,20
2021-09-13,1,70,0,70,2021,110,0,110
2021-09-20,1,50,0,50,2021,260,0,260
2021-09-27,1,30,0,30,2021,370,0,370
2021-10-04,1,30,0,30,2021,510,0,510
2021-10-11,1,20,0,20,2021,600,0,600
2021-10-18,1,30,0,30,2021,580,0,580
2021-10-25,1,30,0,30,2021,400,0,400
2021-11-01,1,20,0,20,2021,460,0,460
2021-11-08,1,20,0,20,2021,380,0,380
2021-11-15,1,20,0,20,2021,390,0,390
2021-11-22,1,10,0,10,2021,360,0,360
2021-11-29,1,20,0,20,2021,310,0,310
2021-12-06,1,10,0,10,2021,280,0,280
2021-12-13,1,20,0,20,2021,210,0,210
2021-12-27,1,10,0,10,2021,50,0,50
2022-01-03,1,10,0,10,2021,120,0,120
2022-01-10,1,10,0,10,2021,160,0,160
2021-02-15,2,30,0,30,2020,140,0,140
2021-02-22,2,60,0,60,2020,130,0,130
2021-03-01,2,60,0,60,2020,120,0,120
2021-03-08,2,40,0,40,2020,110,0,110
2021-03-15,2,30,0,30,2020,90,0,90
2021-03-22,2,20,0,20,2020,80,0,80
2021-03-29,2,20,0,20,2020,50,0,50
2021-04-05,2,10,0,10,2020,30,0,30
2021-04-12,2,10,0,10,2020,40,0,40
2021-04-19,2,10,0,10,2020,30,0,30
2021-04-26,2,20,0,20,2020,20,0,20
2021-05-03,2,20,0,20,2020,10,0,10
2021-05-10,2,20,0,20,2020,20,0,20
2021-05-17,2,40,0,40,2020,10,0,10
2021-05-24,2,60,0,60,2020,10,0,10
2021-05-31,2,70,0,70,NA,NA,NA,NA
2021-06-07,2,80,0,80,NA,NA,NA,NA
2021-06-14,2,80,0,80,NA,NA,NA,NA
2021-06-21,2,140,0,140,NA,NA,NA,NA
2021-06-28,2,220,0,220,NA,NA,NA,NA
2021-07-05,2,380,0,380,NA,NA,NA,NA
2021-07-12,2,500,0,500,NA,NA,NA,NA
2021-07-19,2,400,0,400,NA,NA,NA,NA
2021-07-26,2,320,0,320,NA,NA,NA,NA
2021-08-02,2,270,0,270,NA,NA,NA,NA
2021-08-09,2,180,0,180,NA,NA,NA,NA
2021-08-16,2,150,0,150,NA,NA,NA,NA
2021-08-23,2,130,0,130,NA,NA,NA,NA
2021-08-30,2,110,0,110,NA,NA,NA,NA
2021-09-06,2,100,0,100,2021,20,0,20
2021-09-13,2,120,0,120,2021,110,0,110
2021-09-20,2,90,0,90,2021,260,0,260
2021-09-27,2,80,0,80,2021,370,0,370
2021-10-04,2,60,0,60,2021,510,0,510
2021-10-11,2,80,0,80,2021,600,0,600
2021-10-18,2,60,0,60,2021,580,0,580
2021-10-25,2,60,0,60,2021,400,0,400
2021-11-01,2,60,0,60,2021,460,0,460
2021-11-08,2,50,0,50,2021,380,0,380
2021-11-15,2,60,0,60,2021,390,0,390
2021-11-22,2,50,0,50,2021,360,0,360
2021-11-29,2,40,0,40,2021,310,0,310
2021-12-06,2,30,0,30,2021,280,0,280
2021-12-13,2,50,0,50,2021,210,0,210
2021-12-20,2,20,0,20,2021,130,0,130
2021-12-27,2,20,0,20,2021,50,0,50
2022-01-03,2,20,0,20,2021,120,0,120
2022-01-10,2,20,0,20,2021,160,0,160
2022-01-17,2,10,0,10,2021,150,0,150
2022-01-24,2,20,0,20,2021,130,0,130
2021-09-13,3,10,0,10,2021,110,0,110
2021-09-20,3,100,0,100,2021,260,0,260
2021-09-27,3,120,0,120,2021,370,0,370
2021-10-04,3,130,0,130,2021,510,0,510
2021-10-11,3,170,0,170,2021,600,0,600
2021-10-18,3,90,0,90,2021,580,0,580
2021-10-25,3,50,0,50,2021,400,0,400
2021-11-01,3,60,0,60,2021,460,0,460
2021-11-08,3,50,0,50,2021,380,0,380
2021-11-15,3,60,0,60,2021,390,0,390
2021-11-22,3,80,0,80,2021,360,0,360
2021-11-29,3,110,0,110,2021,310,0,310
2021-12-06,3,190,0,190,2021,280,0,280
2021-12-13,3,710,0,710,2021,210,0,210
2021-12-20,3,740,0,740,2021,130,0,130
2021-12-27,3,700,0,700,2021,50,0,50
2022-01-03,3,370,0,370,2021,120,0,120
2022-01-10,3,230,0,230,2021,160,0,160
2022-01-17,3,140,0,140,2021,150,0,150
2022-01-24,3,60,0,60,2021,130,0,130
2022-01-31,3,80,0,80,2021,130,0,130
2022-02-07,3,70,0,70,2021,90,0,90
2022-02-14,3,30,0,30,2021,110,0,110
2022-02-21,3,30,0,30,2021,70,0,70
2022-02-28,3,30,0,30,2021,90,0,90
2022-03-07,3,10,0,10,2021,80,0,80
2022-03-14,3,30,0,30,2021,60,0,60
2022-03-21,3,20,0,20,2021,60,0,60
2022-03-28,3,10,0,10,2021,30,0,30
2022-04-18,3,20,0,20,NA,NA,NA,NA
2022-04-25,3,10,0,10,2021,20,0,20
2022-05-02,3,20,0,20,NA,NA,NA,NA
2022-05-16,3,10,0,10,2021,10,0,10
2020-09-14,NA,NA,NA,NA,2020,90,0,90
2020-09-21,NA,NA,NA,NA,2020,320,0,320
2020-09-28,NA,NA,NA,NA,2020,630,0,630
2020-10-05,NA,NA,NA,NA,2020,1040,0,1040
2020-10-12,NA,NA,NA,NA,2020,920,0,920
2020-10-19,NA,NA,NA,NA,2020,780,0,780
2020-10-26,NA,NA,NA,NA,2020,550,0,550
2020-11-02,NA,NA,NA,NA,2020,520,0,520
2020-11-09,NA,NA,NA,NA,2020,390,0,390
2020-11-16,NA,NA,NA,NA,2020,450,0,450
2020-11-23,NA,NA,NA,NA,2020,320,0,320
2020-11-30,NA,NA,NA,NA,2020,300,0,300
2020-12-07,NA,NA,NA,NA,2020,240,0,240
2020-12-14,NA,NA,NA,NA,2020,190,0,190
2020-12-28,NA,NA,NA,NA,2020,80,0,80
2022-04-04,NA,NA,NA,NA,2021,30,0,30
2022-04-11,NA,NA,NA,NA,2021,10,0,10
2022-05-09,NA,NA,NA,NA,2021,10,0,10
2022-05-23,NA,NA,NA,NA,2021,10,0,10
