"vacc_seq","vacc_date","n","vacc_type"
"dose1",2020-12-21,10,"c19"
"dose1",2021-01-04,30,"c19"
"dose1",2021-01-11,50,"c19"
"dose1",2021-01-18,60,"c19"
"dose1",2021-01-25,40,"c19"
"dose1",2021-02-01,30,"c19"
"dose1",2021-02-08,30,"c19"
"dose1",2021-02-15,10,"c19"
"dose1",2021-02-22,10,"c19"
"dose1",2021-03-01,30,"c19"
"dose1",2021-03-08,60,"c19"
"dose1",2021-03-15,50,"c19"
"dose1",2021-03-22,50,"c19"
"dose1",2021-03-29,30,"c19"
"dose1",2021-04-05,30,"c19"
"dose1",2021-04-12,80,"c19"
"dose1",2021-04-19,130,"c19"
"dose1",2021-04-26,220,"c19"
"dose1",2021-05-03,280,"c19"
"dose1",2021-05-10,380,"c19"
"dose1",2021-05-17,350,"c19"
"dose1",2021-05-24,220,"c19"
"dose1",2021-05-31,180,"c19"
"dose1",2021-06-07,120,"c19"
"dose1",2021-06-14,100,"c19"
"dose1",2021-06-21,90,"c19"
"dose1",2021-06-28,80,"c19"
"dose1",2021-07-05,80,"c19"
"dose1",2021-07-12,80,"c19"
"dose1",2021-07-19,70,"c19"
"dose1",2021-07-26,80,"c19"
"dose1",2021-08-02,120,"c19"
"dose1",2021-08-09,60,"c19"
"dose1",2021-08-16,110,"c19"
"dose1",2021-08-23,100,"c19"
"dose1",2021-08-30,110,"c19"
"dose1",2021-09-06,80,"c19"
"dose1",2021-09-13,70,"c19"
"dose1",2021-09-20,50,"c19"
"dose1",2021-09-27,30,"c19"
"dose1",2021-10-04,30,"c19"
"dose1",2021-10-11,20,"c19"
"dose1",2021-10-18,30,"c19"
"dose1",2021-10-25,30,"c19"
"dose1",2021-11-01,20,"c19"
"dose1",2021-11-08,20,"c19"
"dose1",2021-11-15,20,"c19"
"dose1",2021-11-22,10,"c19"
"dose1",2021-11-29,20,"c19"
"dose1",2021-12-06,10,"c19"
"dose1",2021-12-13,20,"c19"
"dose1",2021-12-27,10,"c19"
"dose1",2022-01-03,10,"c19"
"dose1",2022-01-10,10,"c19"
"dose2",2021-02-15,30,"c19"
"dose2",2021-02-22,60,"c19"
"dose2",2021-03-01,60,"c19"
"dose2",2021-03-08,40,"c19"
"dose2",2021-03-15,30,"c19"
"dose2",2021-03-22,20,"c19"
"dose2",2021-03-29,20,"c19"
"dose2",2021-04-05,10,"c19"
"dose2",2021-04-12,10,"c19"
"dose2",2021-04-19,10,"c19"
"dose2",2021-04-26,20,"c19"
"dose2",2021-05-03,20,"c19"
"dose2",2021-05-10,20,"c19"
"dose2",2021-05-17,40,"c19"
"dose2",2021-05-24,60,"c19"
"dose2",2021-05-31,70,"c19"
"dose2",2021-06-07,80,"c19"
"dose2",2021-06-14,80,"c19"
"dose2",2021-06-21,140,"c19"
"dose2",2021-06-28,220,"c19"
"dose2",2021-07-05,380,"c19"
"dose2",2021-07-12,500,"c19"
"dose2",2021-07-19,400,"c19"
"dose2",2021-07-26,320,"c19"
"dose2",2021-08-02,270,"c19"
"dose2",2021-08-09,180,"c19"
"dose2",2021-08-16,150,"c19"
"dose2",2021-08-23,130,"c19"
"dose2",2021-08-30,110,"c19"
"dose2",2021-09-06,100,"c19"
"dose2",2021-09-13,120,"c19"
"dose2",2021-09-20,90,"c19"
"dose2",2021-09-27,80,"c19"
"dose2",2021-10-04,60,"c19"
"dose2",2021-10-11,80,"c19"
"dose2",2021-10-18,60,"c19"
"dose2",2021-10-25,60,"c19"
"dose2",2021-11-01,60,"c19"
"dose2",2021-11-08,50,"c19"
"dose2",2021-11-15,60,"c19"
"dose2",2021-11-22,50,"c19"
"dose2",2021-11-29,40,"c19"
"dose2",2021-12-06,30,"c19"
"dose2",2021-12-13,50,"c19"
"dose2",2021-12-20,20,"c19"
"dose2",2021-12-27,20,"c19"
"dose2",2022-01-03,20,"c19"
"dose2",2022-01-10,20,"c19"
"dose2",2022-01-17,10,"c19"
"dose2",2022-01-24,20,"c19"
"dose3",2021-09-13,10,"c19"
"dose3",2021-09-20,100,"c19"
"dose3",2021-09-27,120,"c19"
"dose3",2021-10-04,130,"c19"
"dose3",2021-10-11,170,"c19"
"dose3",2021-10-18,90,"c19"
"dose3",2021-10-25,50,"c19"
"dose3",2021-11-01,60,"c19"
"dose3",2021-11-08,50,"c19"
"dose3",2021-11-15,60,"c19"
"dose3",2021-11-22,80,"c19"
"dose3",2021-11-29,110,"c19"
"dose3",2021-12-06,190,"c19"
"dose3",2021-12-13,710,"c19"
"dose3",2021-12-20,740,"c19"
"dose3",2021-12-27,700,"c19"
"dose3",2022-01-03,370,"c19"
"dose3",2022-01-10,230,"c19"
"dose3",2022-01-17,140,"c19"
"dose3",2022-01-24,60,"c19"
"dose3",2022-01-31,80,"c19"
"dose3",2022-02-07,70,"c19"
"dose3",2022-02-14,30,"c19"
"dose3",2022-02-21,30,"c19"
"dose3",2022-02-28,30,"c19"
"dose3",2022-03-07,10,"c19"
"dose3",2022-03-14,30,"c19"
"dose3",2022-03-21,20,"c19"
"dose3",2022-03-28,10,"c19"
"dose3",2022-04-18,20,"c19"
"dose3",2022-04-25,10,"c19"
"dose3",2022-05-02,20,"c19"
"dose3",2022-05-16,10,"c19"
