"vacc_seq","vacc_date","n","vacc_type"
"20",2020-09-14,20,"flu"
"20",2020-09-21,40,"flu"
"20",2020-09-28,120,"flu"
"20",2020-10-05,210,"flu"
"20",2020-10-12,190,"flu"
"20",2020-10-19,150,"flu"
"20",2020-10-26,140,"flu"
"20",2020-11-02,130,"flu"
"20",2020-11-09,110,"flu"
"20",2020-11-16,120,"flu"
"20",2020-11-23,110,"flu"
"20",2020-11-30,100,"flu"
"20",2020-12-07,90,"flu"
"20",2020-12-14,80,"flu"
"20",2020-12-21,50,"flu"
"20",2020-12-28,50,"flu"
"20",2021-01-04,130,"flu"
"20",2021-01-11,110,"flu"
"20",2021-01-18,110,"flu"
"20",2021-01-25,90,"flu"
"20",2021-02-01,100,"flu"
"20",2021-02-08,100,"flu"
"20",2021-02-15,100,"flu"
"20",2021-02-22,100,"flu"
"20",2021-03-01,100,"flu"
"20",2021-03-08,100,"flu"
"20",2021-03-15,80,"flu"
"20",2021-03-22,80,"flu"
"20",2021-03-29,40,"flu"
"20",2021-04-05,30,"flu"
"20",2021-04-12,40,"flu"
"20",2021-04-19,20,"flu"
"20",2021-04-26,20,"flu"
"20",2021-05-03,10,"flu"
"20",2021-05-10,20,"flu"
"20",2021-05-17,10,"flu"
"20",2021-05-24,10,"flu"
"21",2021-09-06,20,"flu"
"21",2021-09-13,110,"flu"
"21",2021-09-20,260,"flu"
"21",2021-09-27,370,"flu"
"21",2021-10-04,510,"flu"
"21",2021-10-11,600,"flu"
"21",2021-10-18,580,"flu"
"21",2021-10-25,400,"flu"
"21",2021-11-01,460,"flu"
"21",2021-11-08,380,"flu"
"21",2021-11-15,390,"flu"
"21",2021-11-22,360,"flu"
"21",2021-11-29,310,"flu"
"21",2021-12-06,280,"flu"
"21",2021-12-13,210,"flu"
"21",2021-12-20,130,"flu"
"21",2021-12-27,50,"flu"
"21",2022-01-03,120,"flu"
"21",2022-01-10,160,"flu"
"21",2022-01-17,150,"flu"
"21",2022-01-24,130,"flu"
"21",2022-01-31,130,"flu"
"21",2022-02-07,90,"flu"
"21",2022-02-14,110,"flu"
"21",2022-02-21,70,"flu"
"21",2022-02-28,90,"flu"
"21",2022-03-07,80,"flu"
"21",2022-03-14,60,"flu"
"21",2022-03-21,60,"flu"
"21",2022-03-28,30,"flu"
"21",2022-04-04,30,"flu"
"21",2022-04-11,10,"flu"
"21",2022-04-25,20,"flu"
"21",2022-05-09,10,"flu"
"21",2022-05-16,10,"flu"
"21",2022-05-23,10,"flu"
